method,block,target_step,branch,horizon,relative_l2,error_sq,target_sq,sample_count,row_count,mean_runtime_macs,mean_observable_macs
ar2,26,6,0,2,0.2909890618778462,203158.03694295557,2399278.5918027544,4,4,71884800,0
ar2,26,6,0,3,0.40318116712895946,390014.8599178095,2399278.5918027544,4,4,107827200,0
ar2,26,6,1,1,0.24825979306173263,144820.14243038354,2349720.425898402,4,4,35942400,0
ar2,26,6,1,2,0.34645904150321066,282046.0301217594,2349720.425898402,4,4,71884800,0
ar2,26,6,1,3,0.45173805717789084,479501.03798739053,2349720.425898402,4,4,107827200,0
ar2,27,4,0,1,0.1805654804026844,206778.90846566454,6342153.996319756,4,4,35942400,0
ar2,27,4,0,2,0.2925108047105756,542651.0007939648,6342153.996319756,4,4,71884800,0
ar2,27,4,0,3,0.38608874619383804,945390.1408312911,6342153.996319756,4,4,107827200,0
ar2,27,4,1,1,0.23176628978342761,334057.5528434707,6219002.887411921,4,4,35942400,0
ar2,27,4,1,2,0.32394810362318843,652636.9259294135,6219002.887411921,4,4,71884800,0
ar2,27,4,1,3,0.416268157505109,1077623.7142351973,6219002.887411921,4,4,107827200,0
ar2,27,6,0,1,0.12726954677648036,98238.15772318008,6065005.714643393,4,4,35942400,0
ar2,27,6,0,2,0.21104126848955193,270125.7536606145,6065005.714643393,4,4,71884800,0
ar2,27,6,0,3,0.30875036005225653,578157.4947670753,6065005.714643393,4,4,107827200,0
ar2,27,6,1,1,0.18112043900245284,196695.70569076837,5995976.94220104,4,4,35942400,0
ar2,27,6,1,2,0.2538761802787207,386459.3908708634,5995976.94220104,4,4,71884800,0
ar2,27,6,1,3,0.34543451157930016,715469.9593611157,5995976.94220104,4,4,107827200,0
ar2,28,4,0,1,0.18845760191090447,258982.2205510773,7291932.322600366,4,4,35942400,0
ar2,28,4,0,2,0.3421940962151807,853861.937034257,7291932.322600366,4,4,71884800,0
ar2,28,4,0,3,0.6097164821364756,2710806.3838333194,7291932.322600366,4,4,107827200,0
ar2,28,4,1,1,0.22054146685933024,374996.14544596215,7709856.344481888,4,4,35942400,0
ar2,28,4,1,2,0.33961400790024937,889236.9004381963,7709856.344481888,4,4,71884800,0
ar2,28,4,1,3,0.5089474646227368,1997064.9819281388,7709856.344481888,4,4,107827200,0
ar2,28,6,0,1,0.12232379939195868,104186.85487359492,6962913.569450749,4,4,35942400,0
ar2,28,6,0,2,0.2120399565149838,313059.1612162431,6962913.569450749,4,4,71884800,0
ar2,28,6,0,3,0.32628300331968274,741275.9442037572,6962913.569450749,4,4,107827200,0
ar2,28,6,1,1,0.17504528277743941,217129.57621199792,7086277.598869856,4,4,35942400,0
ar2,28,6,1,2,0.25031208631550883,443998.8052509506,7086277.598869856,4,4,71884800,0
ar2,28,6,1,3,0.34486129825539164,842766.1409771636,7086277.598869856,4,4,107827200,0
ar2,29,4,0,1,0.08086039729637451,294234.5824616967,45000980.23464198,4,4,35942400,0
ar2,29,4,0,2,0.15615390051366557,1097305.7311347814,45000980.23464198,4,4,71884800,0
ar2,29,4,0,3,0.3105066968907977,4338742.9053750215,45000980.23464198,4,4,107827200,0
ar2,29,4,1,1,0.08168521254104683,294811.9953873227,44183311.57084072,4,4,35942400,0
