method,iteration,rank,block_size,sparse_kind,high_precision_params,relative_fro_error,activation_relative_l2,activation_cosine,spectral_error_proxy,best_activation_relative_l2_so_far,lowrank_norm,bcm_norm,sparse_norm,weight_key,shape,activation_source,lr16_budget_params,budget_ratio_vs_lr16
alternating_svd_r8_rowsparse_b16,1,8,0,row,49152,0.47715508937835693,0.4864967167377472,0.8970243334770203,1.8416013717651367,0.4864967167377472,18.363672256469727,0.0,3.1953258514404297,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,2,8,0,row,49152,0.4760481119155884,0.485605925321579,0.897504448890686,1.8353378772735596,0.485605925321579,18.451801300048828,0.0,3.93708872795105,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,3,8,0,row,49152,0.4754818081855774,0.4848335087299347,0.8975141644477844,1.8352880477905273,0.4848335087299347,18.516523361206055,0.0,4.589237213134766,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,0,8,0,tile,49152,0.4818374216556549,0.49348828196525574,0.8930788040161133,1.829286813735962,0.49348828196525574,18.294322967529297,0.0,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,1,8,0,tile,49152,0.47732415795326233,0.488103985786438,0.895824670791626,1.8199399709701538,0.488103985786438,18.37333869934082,0.0,3.257368803024292,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,2,8,0,tile,49152,0.47650206089019775,0.4875253140926361,0.8964111804962158,1.8131368160247803,0.4875253140926361,18.474411010742188,0.0,3.511504650115967,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,3,8,0,tile,49152,0.4759938716888428,0.4862210154533386,0.8971384763717651,1.8060169219970703,0.4862210154533386,18.550067901611328,0.0,3.7380917072296143,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,0,16,0,none,49152,0.49508267641067505,0.4974660873413086,0.8913349509239197,1.5338342189788818,0.4974660873413086,13.368243217468262,0.0,0.0,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,1,16,0,none,49152,0.49104025959968567,0.49286943674087524,0.894709587097168,1.5180529356002808,0.49286943674087524,13.597074508666992,0.0,0.0,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,2,16,0,none,49152,0.48914778232574463,0.4890259802341461,0.8975774645805359,1.5154120922088623,0.4890259802341461,13.882065773010254,0.0,0.0,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,3,16,0,none,49152,0.48808589577674866,0.48770132660865784,0.8982260227203369,1.5166347026824951,0.48770132660865784,14.092188835144043,0.0,0.0,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,0,13,256,none,49152,0.49771058559417725,0.4987027645111084,0.8922600150108337,1.5453447103500366,0.4987027645111084,12.19458293914795,0.0,0.0,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
