category,layer,rank,mode,count,relative_projection_error_mean,relative_projection_error_std,raw_reconstruction_error_mean,raw_reconstruction_error_std
camera_motion,7,2,history_centered,30,0.9203193507396309,0.018492626688676118,0.8752054300825566,0.023140480215236982
camera_motion,7,2,raw,30,0.9034466824396976,0.016244457792014735,0.9034466824396976,0.016244457792014735
camera_motion,7,32,history_centered,30,0.6303583841816552,0.03817734349194581,0.5995487490901537,0.03964403928067408
camera_motion,7,32,raw,30,0.6028491743679439,0.03916150051727895,0.6028491743679439,0.03916150051727895
camera_motion,7,4,history_centered,30,0.8719781565246941,0.02469247041853887,0.8292539870859531,0.028189082118665276
camera_motion,7,4,raw,30,0.8491062909141779,0.025768338033591486,0.8491062909141779,0.025768338033591486
camera_motion,7,64,history_centered,30,0.5389967881595282,0.046494538295498634,0.5126691410996707,0.04677952676608584
camera_motion,7,64,raw,30,0.5143514443022258,0.04621034690422136,0.5143514443022258,0.04621034690422136
camera_motion,7,8,history_centered,30,0.8044855727364043,0.0288499492722332,0.7650900475639073,0.0316793776305343
camera_motion,7,8,raw,30,0.7779927528222823,0.030080547711183892,0.7779927528222823,0.030080547711183892
high_change,0,1,history_centered,30,0.9103465088827388,0.021674953361277907,0.7731430989211501,0.04057798740949495
high_change,0,1,raw,30,0.8288743756512119,0.03526485550509308,0.8288743756512119,0.03526485550509308
high_change,0,16,history_centered,30,0.5537832746173639,0.07298169224243832,0.47155478224016456,0.07435884254639566
high_change,0,16,raw,30,0.481576671034524,0.07314749976515114,0.481576671034524,0.07314749976515114
high_change,0,2,history_centered,30,0.8537203942518864,0.03276241551359635,0.7253027373644191,0.04792350862664796
high_change,0,2,raw,30,0.7628337891033518,0.047409786983208635,0.7628337891033518,0.047409786983208635
high_change,0,32,history_centered,30,0.41298331303483005,0.07049548731297607,0.35199614288162384,0.06937219043313748
high_change,0,32,raw,30,0.3566495114780182,0.06993740309892434,0.3566495114780182,0.06993740309892434
high_change,0,4,history_centered,30,0.7722357002117455,0.049819284003197725,0.6565717196550886,0.060857704542849396
high_change,0,4,raw,30,0.6791125691513824,0.06190219275974006,0.6791125691513824,0.06190219275974006
high_change,0,64,history_centered,30,0.2904331054402372,0.054930183272110744,0.2475405092142727,0.05286225802455457
high_change,0,64,raw,30,0.2494024685425163,0.053186309218145045,0.2494024685425163,0.053186309218145045
high_change,0,8,history_centered,30,0.6784100036885907,0.05735266716146724,0.5770421102940015,0.06432960386693669
high_change,0,8,raw,30,0.5915994976909371,0.06409094799940157,0.5915994976909371,0.06409094799940157
high_change,15,1,history_centered,30,0.49408956853526553,0.01654942933507973,0.48157573132902337,0.01586709288849356
high_change,15,1,raw,30,0.528033189987617,0.01699231383962802,0.528033189987617,0.01699231383962802
high_change,15,16,history_centered,30,0.3530303612907318,0.027404050449036814,0.34415851341326437,0.02768693378037421
high_change,15,16,raw,30,0.3455305612626148,0.02687775796581913,0.3455305612626148,0.02687775796581913
high_change,15,2,history_centered,30,0.4633900731956266,0.01905520186980363,0.4516731900837612,0.018860564924029755
high_change,15,2,raw,30,0.47717716513991404,0.01571255553450237,0.47717716513991404,0.01571255553450237
high_change,15,32,history_centered,30,0.3169148986186891,0.03204692519537797,0.3089730663330121,0.03222095363776017
high_change,15,32,raw,30,0.30970178980479895,0.03160576457444527,0.30970178980479895,0.03160576457444527
high_change,15,4,history_centered,30,0.4248458175359832,0.018716533270594842,0.4141228067500355,0.01896751429285483
high_change,15,4,raw,30,0.4246032734917837,0.019087974547461903,0.4246032734917837,0.019087974547461903
high_change,15,64,history_centered,30,0.2851719437615105,0.03585699625776599,0.2780428116017022,0.03588139183149291
high_change,15,64,raw,30,0.27822529137647234,0.03524132852922059,0.27822529137647234,0.03524132852922059
high_change,15,8,history_centered,30,0.3920048528137254,0.02230181564951418,0.38212870384527403,0.022641964614703622
high_change,15,8,raw,30,0.3865978410114815,0.021161911281804214,0.3865978410114815,0.021161911281804214
high_change,22,1,history_centered,30,0.7324536525685134,0.03460507168861861,0.6239085604702189,0.03921829669533346
high_change,22,1,raw,30,0.6580678964058944,0.040625339181374516,0.6580678964058944,0.040625339181374516
high_change,22,16,history_centered,30,0.4057772200281692,0.049872612915202626,0.34605665964216203,0.04926967955337395
high_change,22,16,raw,30,0.3478723472328407,0.0478652376021189,0.3478723472328407,0.0478652376021189
high_change,22,2,history_centered,30,0.5617090026110821,0.033994121754789865,0.47850792772008766,0.03595354427502769
high_change,22,2,raw,30,0.518915675592649,0.035426996044809866,0.518915675592649,0.035426996044809866
high_change,22,32,history_centered,30,0.36937456751762743,0.053623934259550796,0.31509614039854933,0.05194523347295488
high_change,22,32,raw,30,0.31550929613711765,0.05089640864470602,0.31550929613711765,0.05089640864470602
high_change,22,4,history_centered,30,0.5012357739928122,0.03911122724415729,0.4272116608429719,0.04128789321981005
high_change,22,4,raw,30,0.4399504340140897,0.03864852564617445,0.4399504340140897,0.03864852564617445
high_change,22,64,history_centered,30,0.33473705347744165,0.05379552232931241,0.2855990404257003,0.05157011434263066
high_change,22,64,raw,30,0.28559871214338456,0.05078844959276726,0.28559871214338456,0.05078844959276726
high_change,22,8,history_centered,30,0.4483287200893063,0.04463903589123593,0.38223164959161865,0.0453399226649988
high_change,22,8,raw,30,0.38768869327567673,0.04359495777222911,0.38768869327567673,0.04359495777222911
high_change,23,1,history_centered,30,0.7384158119248199,0.032892618972730873,0.5964920163327727,0.03521450464166152
high_change,23,1,raw,30,0.6555601730612721,0.03341194093905306,0.6555601730612721,0.03341194093905306
high_change,23,16,history_centered,30,0.41852802993806065,0.04849568924585935,0.3384656081500167,0.045667966231257504
high_change,23,16,raw,30,0.34024763383732676,0.04431724957615011,0.34024763383732676,0.04431724957615011
high_change,23,2,history_centered,30,0.5639315183857486,0.032151110186602036,0.45559242718315157,0.03239628387051433
high_change,23,2,raw,30,0.5241733497513196,0.027593213338559307,0.5241733497513196,0.027593213338559307
high_change,23,32,history_centered,30,0.3822581450610619,0.052945932478394214,0.309215466687643,0.04880531318125091
high_change,23,32,raw,30,0.3095421663643936,0.04746106637752683,0.3095421663643936,0.04746106637752683
high_change,23,4,history_centered,30,0.5101035738412775,0.037625030360643845,0.41228742769686,0.037701208352680676
high_change,23,4,raw,30,0.42590946120505213,0.0351249965551406,0.42590946120505213,0.0351249965551406
high_change,23,64,history_centered,30,0.34802745180995504,0.05463856978352609,0.2815860803468359,0.04972613670163578
high_change,23,64,raw,30,0.28152542944520903,0.04865106816879691,0.28152542944520903,0.04865106816879691
