method,schedule_family,schedule_action,schedule_cell_count,samples,speedup_geomean,speedup_mean,speedup_min,speedup_max,ssim_mean,ssim_min,ssim_p05,psnr_mean_db,requested_quant_mean,requested_cache_mean,executed_cache_mean,cache_fallbacks_mean,cache_refreshes_mean
c_s16-16_b18-20,single_cell,C,1,1,1.0053155604946098,1.0053155604946098,1.0053155604946098,1.0053155604946098,0.970373531558103,0.970373531558103,0.970373531558103,34.915782255320764,0.0,6.0,6.0,0.0,6.0
c_s16-16_b21-23,single_cell,C,1,1,1.0041365224424674,1.0041365224424674,1.0041365224424674,1.0041365224424674,0.9722589347131754,0.9722589347131754,0.9722589347131754,35.33768963560119,0.0,6.0,6.0,0.0,6.0
c_s16-16_b24-26,single_cell,C,1,1,1.0063356479323442,1.0063356479323442,1.0063356479323442,1.0063356479323442,0.9711335831749172,0.9711335831749172,0.9711335831749172,35.14960522785165,0.0,6.0,6.0,0.0,6.0
c_s16-16_b27-29,single_cell,C,1,1,1.0040437702007772,1.0040437702007772,1.0040437702007772,1.0040437702007772,0.9715350078495794,0.9715350078495794,0.9715350078495794,35.23616017027035,0.0,6.0,6.0,0.0,6.0
c_s17-17_b00-02,single_cell,C,1,1,1.0070904618885974,1.0070904618885974,1.0070904618885974,1.0070904618885974,0.9686012497759061,0.9686012497759061,0.9686012497759061,34.537705688755494,0.0,6.0,6.0,0.0,6.0
c_s17-17_b03-05,single_cell,C,1,1,1.0041391271456601,1.0041391271456601,1.0041391271456601,1.0041391271456601,0.9704549356327052,0.9704549356327052,0.9704549356327052,34.96062680115539,0.0,6.0,6.0,0.0,6.0
c_s17-17_b06-08,single_cell,C,1,1,1.0041923026655672,1.0041923026655672,1.0041923026655672,1.0041923026655672,0.9704037173263754,0.9704037173263754,0.9704037173263754,35.01388435762031,0.0,6.0,6.0,0.0,6.0
c_s17-17_b09-11,single_cell,C,1,1,1.0033133196278545,1.0033133196278545,1.0033133196278545,1.0033133196278545,0.9705180036912874,0.9705180036912874,0.9705180036912874,34.83552134764318,0.0,6.0,6.0,0.0,6.0
c_s17-17_b12-14,single_cell,C,1,1,0.9908632758027994,0.9908632758027994,0.9908632758027994,0.9908632758027994,0.9688828069005114,0.9688828069005114,0.9688828069005114,34.77996743156431,0.0,6.0,6.0,0.0,6.0
c_s17-17_b15-17,single_cell,C,1,1,1.0033201306642363,1.0033201306642363,1.0033201306642363,1.0033201306642363,0.9683617482654278,0.9683617482654278,0.9683617482654278,34.7391700133875,0.0,6.0,6.0,0.0,6.0
