method,requested_token_budget,actual_critical_tokens,rank,metric,mean,std,min,max,count
block32_oracle,64,64,32,critical_mass,0.1295068027684465,0.17638510993220907,0.0024288890417665243,0.5556991696357727,12
block32_oracle,64,64,64,critical_mass,0.1295068027684465,0.17638510993220907,0.0024288890417665243,0.5556991696357727,12
block32_oracle,64,64,8,critical_mass,0.1295068027684465,0.17638510993220907,0.0024288890417665243,0.5556991696357727,12
block64_oracle,1024,1024,16,critical_mass,0.4288243278861046,0.3676214491465026,0.0356045626103878,0.9539682865142822,12
block64_oracle,1024,1024,32,critical_mass,0.4288243278861046,0.3676214491465026,0.0356045626103878,0.9539682865142822,12
block64_oracle,1024,1024,64,critical_mass,0.4288243278861046,0.3676214491465026,0.0356045626103878,0.9539682865142822,12
block64_oracle,1024,1024,8,critical_mass,0.4288243278861046,0.3676214491465026,0.0356045626103878,0.9539682865142822,12
block64_oracle,128,128,16,critical_mass,0.15933290674972037,0.1964197397343113,0.004602858796715736,0.5953637957572937,12
block64_oracle,128,128,32,critical_mass,0.15933290674972037,0.1964197397343113,0.004602858796715736,0.5953637957572937,12
block64_oracle,128,128,64,critical_mass,0.15933290674972037,0.1964197397343113,0.004602858796715736,0.5953637957572937,12
block64_oracle,128,128,8,critical_mass,0.15933290674972037,0.1964197397343113,0.004602858796715736,0.5953637957572937,12
block64_oracle,256,256,16,critical_mass,0.24154718918725848,0.27104424645475345,0.009117355570197105,0.7687630653381348,12
block64_oracle,256,256,32,critical_mass,0.24154718918725848,0.27104424645475345,0.009117355570197105,0.7687630653381348,12
block64_oracle,256,256,64,critical_mass,0.24154718918725848,0.27104424645475345,0.009117355570197105,0.7687630653381348,12
block64_oracle,256,256,8,critical_mass,0.24154718918725848,0.27104424645475345,0.009117355570197105,0.7687630653381348,12
block64_oracle,512,512,16,critical_mass,0.33578422230978805,0.3333653653195134,0.01802954263985157,0.8950971364974976,12
block64_oracle,512,512,32,critical_mass,0.33578422230978805,0.3333653653195134,0.01802954263985157,0.8950971364974976,12
block64_oracle,512,512,64,critical_mass,0.33578422230978805,0.3333653653195134,0.01802954263985157,0.8950971364974976,12
block64_oracle,512,512,8,critical_mass,0.33578422230978805,0.3333653653195134,0.01802954263985157,0.8950971364974976,12
block64_oracle,64,64,16,critical_mass,0.09780223586130887,0.12821265842800267,0.002318542916327715,0.40375077724456787,12
block64_oracle,64,64,32,critical_mass,0.09780223586130887,0.12821265842800267,0.002318542916327715,0.40375077724456787,12
block64_oracle,64,64,64,critical_mass,0.09780223586130887,0.12821265842800267,0.002318542916327715,0.40375077724456787,12
block64_oracle,64,64,8,critical_mass,0.09780223586130887,0.12821265842800267,0.002318542916327715,0.40375077724456787,12
token_topk_oracle,1024,1024,16,critical_mass,0.5157304499298334,0.40186183059026825,0.05658319219946861,0.9972542524337769,12
token_topk_oracle,1024,1024,32,critical_mass,0.5157304499298334,0.40186183059026825,0.05658319219946861,0.9972542524337769,12
token_topk_oracle,1024,1024,64,critical_mass,0.5157304499298334,0.40186183059026825,0.05658319219946861,0.9972542524337769,12
token_topk_oracle,1024,1024,8,critical_mass,0.5157304499298334,0.40186183059026825,0.05658319219946861,0.9972542524337769,12
token_topk_oracle,128,128,16,critical_mass,0.34286084002815187,0.3712911841011392,0.008990109898149967,0.9568920731544495,12
token_topk_oracle,128,128,32,critical_mass,0.34286084002815187,0.3712911841011392,0.008990109898149967,0.9568920731544495,12
token_topk_oracle,128,128,64,critical_mass,0.34286084002815187,0.3712911841011392,0.008990109898149967,0.9568920731544495,12
token_topk_oracle,128,128,8,critical_mass,0.34286084002815187,0.3712911841011392,0.008990109898149967,0.9568920731544495,12
token_topk_oracle,256,256,16,critical_mass,0.3989484890674551,0.3896308270793569,0.016648346558213234,0.9797766804695129,12
token_topk_oracle,256,256,32,critical_mass,0.3989484890674551,0.3896308270793569,0.016648346558213234,0.9797766804695129,12
token_topk_oracle,256,256,64,critical_mass,0.3989484890674551,0.3896308270793569,0.016648346558213234,0.9797766804695129,12
token_topk_oracle,256,256,8,critical_mass,0.3989484890674551,0.3896308270793569,0.016648346558213234,0.9797766804695129,12
token_topk_oracle,512,512,16,critical_mass,0.45600250316783786,0.4007031007470458,0.030741633847355843,0.9921894073486328,12
token_topk_oracle,512,512,32,critical_mass,0.45600250316783786,0.4007031007470458,0.030741633847355843,0.9921894073486328,12
token_topk_oracle,512,512,64,critical_mass,0.45600250316783786,0.4007031007470458,0.030741633847355843,0.9921894073486328,12
token_topk_oracle,512,512,8,critical_mass,0.45600250316783786,0.4007031007470458,0.030741633847355843,0.9921894073486328,12
token_topk_oracle,64,64,16,critical_mass,0.2878524547365184,0.3461837631327667,0.004837541375309229,0.9215109944343567,12
token_topk_oracle,64,64,32,critical_mass,0.2878524547365184,0.3461837631327667,0.004837541375309229,0.9215109944343567,12
token_topk_oracle,64,64,64,critical_mass,0.2878524547365184,0.3461837631327667,0.004837541375309229,0.9215109944343567,12
token_topk_oracle,64,64,8,critical_mass,0.2878524547365184,0.3461837631327667,0.004837541375309229,0.9215109944343567,12
