category,layer,mode,method,capacity,delay,run_count,observation_count,mean_cosine_mean,mean_cosine_std,median_cosine_mean,median_cosine_std,mean_relative_l2_mean,mean_relative_l2_std,coverage_mean,coverage_std,cosine_gain_vs_recent
camera_motion,15,frame_centered_unit,instant_adaptive,64,8,6,48,0.8710709327032591,0.09030259378869357,0.8995789359681211,0.08957457847827396,0.4176971520327164,0.1721267910695501,0.6458333333333334,0.27609079751455357,0.13927011227972008
camera_motion,15,frame_centered_unit,instant_oja,64,0,6,96,1.0,0.0,1.0,4.5324665183683945e-17,0.0,0.0,1.0,0.0,0.0
camera_motion,15,frame_centered_unit,instant_oja,64,1,6,90,1.0,0.0,1.0,4.0539612963254114e-17,0.0,0.0,1.0,0.0,0.0
camera_motion,15,frame_centered_unit,instant_oja,64,2,6,84,1.0,0.0,1.0,4.1962486042515756e-17,0.0,0.0,1.0,0.0,0.0
camera_motion,15,frame_centered_unit,instant_oja,64,4,6,72,0.9464250715149043,0.05480205178873148,0.9518254494334335,0.0548904714564865,0.2620107001850589,0.1626906246155081,0.828125,0.2653184505614589,0.032540109864015565
camera_motion,15,frame_centered_unit,instant_oja,64,8,6,48,0.9420069593857869,0.0644527832474275,0.9460376405460913,0.0678652112120719,0.2699763669754494,0.1677242140823549,0.8229166666666666,0.25874463225779626,0.21020613896224793
camera_motion,15,frame_centered_unit,recent_window,64,0,6,96,1.0,0.0,1.0,4.5324665183683945e-17,0.0,0.0,1.0,0.0,0.0
camera_motion,15,frame_centered_unit,recent_window,64,1,6,90,1.0,0.0,1.0,4.0539612963254114e-17,0.0,0.0,1.0,0.0,0.0
camera_motion,15,frame_centered_unit,recent_window,64,2,6,84,1.0,0.0,1.0,4.1962486042515756e-17,0.0,0.0,1.0,0.0,0.0
camera_motion,15,frame_centered_unit,recent_window,64,4,6,72,0.9138849616508887,0.12068493435059656,0.9228413293886951,0.1287692127915493,0.3223185420253495,0.22702451907783378,0.7838541666666666,0.2922125657697663,0.0
camera_motion,15,frame_centered_unit,recent_window,64,8,6,48,0.731800820423539,0.21103690652697232,0.7254544616368072,0.234529220464648,0.6320549740606654,0.32282685940410605,0.3971354166666667,0.40373612901331946,0.0
camera_motion,15,frame_centered_unit,uniform_reservoir,64,0,6,96,0.9276883841453888,0.09214428717285689,0.9522810718915672,0.09529233325549263,0.2045006533190408,0.20331732659652377,0.8020833333333334,0.23997929236475568,-0.07231161585461121
camera_motion,15,frame_centered_unit,uniform_reservoir,64,1,6,90,0.9405297314770877,0.07348465664560634,0.9622386056429834,0.07229647399835783,0.18540970768940118,0.17831556186699787,0.8333333333333334,0.2116404183200049,-0.05947026852291226
camera_motion,15,frame_centered_unit,uniform_reservoir,64,2,6,84,0.9471942585906112,0.0634834491109278,0.9712227050879522,0.05204657615255097,0.17968553269959148,0.16135979154662103,0.8511904761904762,0.19549063588525376,-0.05280574140938876
camera_motion,15,frame_centered_unit,uniform_reservoir,64,4,6,72,0.9532562027740631,0.0474087385737223,0.9765313127801731,0.037206132487076604,0.18139988053940748,0.1279389697487927,0.8628472222222222,0.17168199039391782,0.03937124112317436
camera_motion,15,frame_centered_unit,uniform_reservoir,64,8,6,48,0.9383454304805019,0.04644407716536263,0.9631171420926922,0.03699892593514562,0.23815783941909127,0.11499974790374179,0.81640625,0.17924821757162374,0.2065446100569629
