case,sample_id,prompt_index,seed,layer,sampling_step,timestep,branch,head,mask,logical_density,execution_density,exact_attention_mass_mean,output_relative_l2,defect_squared_norm,reference_squared_norm,query_output_nrmse_p95,query_output_nrmse_p99,query_cosine_p05,absolute_lse_error_p95,numerator_relative_l2_p95,static_sparse_head_gate
f81_l0_t1000_cond,,,,0,,1000,cond,6,s3_temporal_pm2,0.05906694009900093,0.07178950309753418,0.6536300778388977,0.14174409210681915,62.451759338378906,3108.385498046875,0.2316105216741562,0.2449493557214737,0.9774099588394165,0.6406600475311279,0.46749112010002136,False
f81_l0_t1000_cond,,,,0,,1000,cond,6,s3_tfull_anchor12,0.0691748633980751,0.08589551597833633,0.49931854009628296,0.22045032680034637,151.0623779296875,3108.385498046875,0.33965638279914856,0.38999274373054504,0.9542719125747681,0.9042707681655884,0.5896400213241577,False
f81_l0_t1000_cond,,,,0,,1000,cond,7,s3,0.012529350817203522,0.015228076837956905,0.06732229888439178,0.7807801961898804,675.6868286132812,1108.377685546875,1.0664699077606201,1.2815287113189697,0.6053673028945923,3.3318734169006348,0.9669442176818848,False
f81_l0_t1000_cond,,,,0,,1000,cond,7,s5,0.026429980993270874,0.03253999724984169,0.07569408416748047,0.710366427898407,559.3099975585938,1108.377685546875,0.980170488357544,1.1650581359863281,0.6384554505348206,3.21079158782959,0.9624033570289612,False
f81_l0_t1000_cond,,,,0,,1000,cond,7,s3_tfull,0.048220157623291016,0.06011082977056503,0.34556058049201965,0.5372602939605713,319.93170166015625,1108.377685546875,0.7303873896598816,0.8293969035148621,0.827355146408081,1.4712903499603271,0.7744017243385315,False
f81_l0_t1000_cond,,,,0,,1000,cond,7,s5_tfull,0.06212078407406807,0.07742274552583694,0.3539324104785919,0.5226638913154602,302.783935546875,1108.377685546875,0.7099363207817078,0.7920801043510437,0.8310340642929077,1.4444538354873657,0.7686732411384583,False
f81_l0_t1000_cond,,,,0,,1000,cond,7,s3_temporal_pm2,0.05906694009900093,0.07178950309753418,0.6795337796211243,0.21221421658992767,49.91565704345703,1108.377685546875,0.35334163904190063,0.6362501978874207,0.9616591930389404,0.542016327381134,0.42155125737190247,False
f81_l0_t1000_cond,,,,0,,1000,cond,7,s3_tfull_anchor12,0.0691748633980751,0.08589551597833633,0.35508108139038086,0.5236055850982666,303.87579345703125,1108.377685546875,0.7210580706596375,0.8111594319343567,0.8292919397354126,1.458367109298706,0.7722366452217102,False
f81_l0_t1000_cond,,,,0,,1000,cond,8,s3,0.012529350817203522,0.015228076837956905,0.013912412337958813,1.3813605308532715,605.7494506835938,317.45263671875,2.0006484985351562,2.3182969093322754,0.08906003087759018,4.936769962310791,0.9989538192749023,False
f81_l0_t1000_cond,,,,0,,1000,cond,8,s5,0.026429980993270874,0.03253999724984169,0.02861812710762024,0.8709378838539124,240.79818725585938,317.45263671875,1.276801586151123,1.4898494482040405,0.3203469514846802,4.078724384307861,0.9920918941497803,False
