model,weight_key,role,block_index,control,block_size,method,target_scalar_density,actual_scalar_density,retained_energy,relative_fro_error
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,row_fft_topk_oracle,0.25,0.25,0.5984343579658453,0.6336920719356955
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,row_fft_lowfreq_static,0.25,0.25,0.2428226400463476,0.8701593876719669
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,column_fft_topk_oracle,0.25,0.25,0.6030205471910535,0.6300630546294129
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,column_fft_lowfreq_static,0.25,0.25,0.23827572123702212,0.8727681701133342
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,fft2_topk_oracle,0.25,0.25,0.6049044467421121,0.6285662679923955
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,fft2_lowfreq_static,0.25,0.25,0.23451682261800683,0.8749189547506633
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,identity_topk_oracle,0.015625,0.015625,0.08966297304685657,0.9541158351862438
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,row_fft_topk_oracle,0.015625,0.015625,0.465262320107845,0.7312576015961509
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,row_fft_lowfreq_static,0.015625,0.015625,0.04247098672137429,0.9785341145195837
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,column_fft_topk_oracle,0.015625,0.015625,0.5326163359520046,0.6836546379920166
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,column_fft_lowfreq_static,0.015625,0.015625,0.34453710442530505,0.8096066301449705
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,fft2_topk_oracle,0.015625,0.015625,1.0000000000000002,0.0
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,fft2_lowfreq_static,0.015625,0.015625,1.0000000000000002,0.0
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,identity_topk_oracle,0.0625,0.0625,0.2931863752307091,0.8407220853345598
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,row_fft_topk_oracle,0.0625,0.0625,0.9663283726209194,0.1834983034773907
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,row_fft_lowfreq_static,0.0625,0.0625,0.4262856160268126,0.757439359931333
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,column_fft_topk_oracle,0.0625,0.0625,0.9317600412561207,0.2612277909103075
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,column_fft_lowfreq_static,0.0625,0.0625,0.7630654010323877,0.4867592823640986
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,fft2_topk_oracle,0.0625,0.0625,1.0000000000000002,0.0
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,fft2_lowfreq_static,0.0625,0.0625,1.0000000000000002,0.0
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,identity_topk_oracle,0.125,0.125,0.4819593392803578,0.7197504155744838
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,row_fft_topk_oracle,0.125,0.125,0.9999999999999997,1.8250120749944284e-08
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,row_fft_lowfreq_static,0.125,0.125,0.9999999999999996,2.1073424255447017e-08
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,column_fft_topk_oracle,0.125,0.125,1.0000000000000002,0.0
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,column_fft_lowfreq_static,0.125,0.125,0.9999999999999999,1.0536712127723509e-08
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,fft2_topk_oracle,0.125,0.125,1.0000000000000002,0.0
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,fft2_lowfreq_static,0.125,0.125,1.0000000000000002,0.0
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,identity_topk_oracle,0.25,0.25,0.7136082034468382,0.5351558619254412
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,row_fft_topk_oracle,0.25,0.25,0.9999999999999997,1.8250120749944284e-08
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,row_fft_lowfreq_static,0.25,0.25,0.9999999999999996,2.1073424255447017e-08
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,column_fft_topk_oracle,0.25,0.25,1.0000000000000002,0.0
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,column_fft_lowfreq_static,0.25,0.25,0.9999999999999999,1.0536712127723509e-08
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,fft2_topk_oracle,0.25,0.25,1.0000000000000002,0.0
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,fft2_lowfreq_static,0.25,0.25,1.0000000000000002,0.0
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,identity_topk_oracle,0.015625,0.015625,0.143188379704483,0.9256411941435606
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,row_fft_topk_oracle,0.015625,0.015625,0.09497750435370775,0.9513267028977439
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,row_fft_lowfreq_static,0.015625,0.015625,0.013299950179465165,0.9933277655540164
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,column_fft_topk_oracle,0.015625,0.015625,0.10377520406729515,0.946691499873483
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,column_fft_lowfreq_static,0.015625,0.015625,0.050783846932798436,0.9742772465100483
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,fft2_topk_oracle,0.015625,0.015625,0.08462494463416292,0.9567523479803105
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,fft2_lowfreq_static,0.015625,0.015625,0.024619082484255955,0.9876137491528477
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,identity_topk_oracle,0.0625,0.0625,0.3449128640211275,0.8093745338092079
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,row_fft_topk_oracle,0.0625,0.0625,0.26233527129143136,0.8588741052730422
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,row_fft_lowfreq_static,0.0625,0.0625,0.05660961789558725,0.9712828538095444
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,column_fft_topk_oracle,0.0625,0.0625,0.2600886749204093,0.8601809839095437
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,column_fft_lowfreq_static,0.0625,0.0625,0.092762478585559,0.9524901686707538
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,fft2_topk_oracle,0.0625,0.0625,0.24386728403210572,0.8695589203543911
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,fft2_lowfreq_static,0.0625,0.0625,0.07351975262170965,0.9625384394289355
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,identity_topk_oracle,0.125,0.125,0.513293210679653,0.6976437409741071
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,row_fft_topk_oracle,0.125,0.125,0.4142789719366226,0.7653241326806423
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,row_fft_lowfreq_static,0.125,0.125,0.11774716889137421,0.9392831474633332
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,column_fft_topk_oracle,0.125,0.125,0.40659360253615173,0.7703287593384063
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,column_fft_lowfreq_static,0.125,0.125,0.15322467841397974,0.9202039565150871
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,fft2_topk_oracle,0.125,0.125,0.3943569110864428,0.7782307427193796
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,fft2_lowfreq_static,0.125,0.125,0.13746575603659344,0.9287272171974968
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,identity_topk_oracle,0.25,0.25,0.7241848937306742,0.525181022381165
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,row_fft_topk_oracle,0.25,0.25,0.6188090195527738,0.6174066572747869
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,row_fft_lowfreq_static,0.25,0.25,0.242226305206145,0.8705019786271914
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,column_fft_topk_oracle,0.25,0.25,0.6148662157308191,0.620591479372043
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,column_fft_lowfreq_static,0.25,0.25,0.2774861780076982,0.8500081305448212
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,fft2_topk_oracle,0.25,0.25,0.6030462691419116,0.6300426420950318
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,fft2_lowfreq_static,0.25,0.25,0.2688795938528426,0.8550557912482422
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,identity_topk_oracle,0.015625,0.015625,0.143188379704483,0.9256411941435606
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,row_fft_topk_oracle,0.015625,0.015625,0.09662344774079912,0.9504612313288748
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,row_fft_lowfreq_static,0.015625,0.015625,0.013299950179465168,0.9933277655540164
