category,layer,metric,value,threshold,eligible,gate_pass
static,15,bccb_increment_vs_bttb,9.555539957855069e-06,0.0,False,False
static,22,state_rank32_energy,0.9002444999881208,0.7,True,True
static,22,causal_rank32_projection_error,0.23552539619834734,,True,
static,22,residual_top10_energy,0.5846561356128437,0.7,True,False
static,22,residual_top10_change_recall,0.20507119946004598,0.8,True,False
static,22,residual_joint_gate,0.20507119946004598,,True,False
static,22,flow_gain_vs_identity,-3.6602502939169814,0.1,False,False
static,22,bttb_gain_vs_identity,-0.0035009193090373677,0.1,False,False
static,22,bccb_gain_vs_identity,-0.0037229928265267173,0.1,False,False
static,22,bccb_increment_vs_bttb,-0.00022129876835813854,0.0,False,False
static,23,state_rank32_energy,0.8920803201544695,0.7,True,True
static,23,causal_rank32_projection_error,0.24765164090295752,,True,
static,23,residual_top10_energy,0.5829764936839693,0.7,True,False
static,23,residual_top10_change_recall,0.20539004081097545,0.8,True,False
static,23,residual_joint_gate,0.20539004081097545,,True,False
static,23,flow_gain_vs_identity,-3.7724948559003613,0.1,False,False
static,23,bttb_gain_vs_identity,-0.0027631881760960346,0.1,False,False
static,23,bccb_gain_vs_identity,-0.0029868874539638055,0.1,False,False
static,23,bccb_increment_vs_bttb,-0.0002230828579523871,0.0,False,False
