split,sampling_step,branch,layer,prediction,rank,records,local_mass_mean,basis_energy_mean,aggregate_full_output_relative_l2,aggregate_local_output_relative_l2,record_error_p95,record_error_max
calibration,9,cond,14,ridge_linear,16,12,0.32332594133913517,0.8194930305083593,0.09337207382534857,0.17227090902982975,0.1298556292468278,0.14660584831594667
calibration,9,cond,14,ridge_linear,32,12,0.32332594133913517,0.9508749544620514,0.04022991476179607,0.07422394836351708,0.05889118183552759,0.07090642170195727
calibration,9,cond,14,ridge_linear,64,12,0.32332594133913517,0.9999999850988388,0.009263198871127221,0.01709054564899209,0.01430552856252975,0.016161095079123285
calibration,9,cond,14,ridge_linear,8,12,0.32332594133913517,0.6431682805220286,0.15351504766384297,0.2832343304302649,0.21957929902294698,0.24866242140435957
calibration,9,cond,14,ridge_nonnegative,16,12,0.32332594133913517,0.8194930305083593,0.09803367384731747,0.18087153275400844,0.1381521277243028,0.16027670264572066
calibration,9,cond,14,ridge_nonnegative,32,12,0.32332594133913517,0.9508749544620514,0.04386029557858002,0.08092197891815214,0.06377433289180351,0.07794980751819003
calibration,9,cond,14,ridge_nonnegative,64,12,0.32332594133913517,0.9999999850988388,0.009572815563237237,0.01766178656520403,0.014767692133496428,0.016782421325215617
calibration,9,cond,14,ridge_nonnegative,8,12,0.32332594133913517,0.6431682805220286,0.1563749509486458,0.28851083461857213,0.22707602958083667,0.25511192154845314
calibration,9,cond,29,oracle_linear,16,12,0.5110774803906679,0.9537273794412613,0.007360290235275925,0.007885237049057355,0.022846765306239098,0.02966797108019273
calibration,9,cond,29,oracle_linear,32,12,0.5110774803906679,0.98789943754673,0.0024825195233881318,0.002659576496998622,0.009757581158232165,0.010841512685220295
calibration,9,cond,29,oracle_linear,64,12,0.5110774803906679,0.9999999751647314,9.306751952914012e-06,9.970523302706873e-06,2.2191506084934723e-05,3.8209837752267175e-05
calibration,9,cond,29,oracle_linear,8,12,0.5110774803906679,0.8991721024115881,0.01820122554907335,0.01949936394490864,0.055527468058448826,0.06451849883862291
calibration,9,cond,29,oracle_nonnegative,16,12,0.5110774803906679,0.9537273794412613,0.007382028852073116,0.007908526096239616,0.023265140579180624,0.030244321095799564
calibration,9,cond,29,oracle_nonnegative,32,12,0.5110774803906679,0.98789943754673,0.002595476309614994,0.00278058952871708,0.010133168619962416,0.011606387517752304
calibration,9,cond,29,oracle_nonnegative,64,12,0.5110774803906679,0.9999999751647314,1.5525622751760707e-05,1.66329331885758e-05,3.443402145078999e-05,6.541542745416783e-05
calibration,9,cond,29,oracle_nonnegative,8,12,0.5110774803906679,0.8991721024115881,0.018365746833209847,0.019675619130990026,0.05612591987633768,0.06154116304877673
calibration,9,cond,29,ridge_linear,16,12,0.5110774803906679,0.9537273794412613,0.007913651355923269,0.008478064705380444,0.023304477113507797,0.030338580116255533
calibration,9,cond,29,ridge_linear,32,12,0.5110774803906679,0.98789943754673,0.003665763949214207,0.003927211669847834,0.010887884802992149,0.012158959812442378
calibration,9,cond,29,ridge_linear,64,12,0.5110774803906679,0.9999999751647314,0.0026915316350352362,0.00288349566238187,0.007326617268734743,0.009846084674550786
calibration,9,cond,29,ridge_linear,8,12,0.5110774803906679,0.8991721024115881,0.018334992471640582,0.01964267132274956,0.05586717804067255,0.06457529053937769
calibration,9,cond,29,ridge_nonnegative,16,12,0.5110774803906679,0.9537273794412613,0.007926394865205365,0.008491717100641243,0.023580957269390475,0.030629971290663624
