split,head_role,prediction,rank,records,local_mass_mean,basis_energy_mean,aggregate_full_output_relative_l2,aggregate_local_output_relative_l2,record_error_p95,record_error_max
test,diffuse,ridge_nonnegative,8,123,0.10739635304373697,0.661569967502501,0.13582593959748046,0.6140441147750663,0.26742286273781535,0.34563312216721637
test,localized,oracle_linear,16,54,0.9263737775661327,0.9903944587266004,0.01986835400538015,0.02046417929131841,0.08330637939752752,0.18066502488799488
test,localized,oracle_linear,32,54,0.9263737775661327,0.9992909409381725,0.01154107616360474,0.011887177556973962,0.0489783057864937,0.1256436317430998
test,localized,oracle_linear,64,54,0.9263737775661327,0.9999999735090468,0.007446221487759733,0.007669523682088597,0.033120109324740216,0.0877952242241261
test,localized,oracle_linear,8,54,0.9263737775661327,0.9627397358417511,0.030669892142116503,0.03158964106798745,0.0959321908214138,0.22870216847871613
test,localized,oracle_nonnegative,16,54,0.9263737775661327,0.9903944587266004,0.020093024002721758,0.02069558684051618,0.0868609090321338,0.17880480142820643
test,localized,oracle_nonnegative,32,54,0.9263737775661327,0.9992909409381725,0.011652414719506694,0.01200185500682195,0.050519572725038236,0.12238805263511934
test,localized,oracle_nonnegative,64,54,0.9263737775661327,0.9999999735090468,0.007678285517071294,0.007908547000357013,0.03855746705401433,0.09239953154814141
test,localized,oracle_nonnegative,8,54,0.9263737775661327,0.9627397358417511,0.030117572445345145,0.031020758044371353,0.09554539801124316,0.22691880034958875
test,localized,ridge_linear,16,54,0.9263737775661327,0.9903944587266004,0.10469238646915145,0.10783197070882472,0.3061997644548765,0.4202021936360687
test,localized,ridge_linear,32,54,0.9263737775661327,0.9992909409381725,0.10487683945764172,0.10802195519502132,0.30498958406716203,0.41844914110139264
test,localized,ridge_linear,64,54,0.9263737775661327,0.9999999735090468,0.104989212737003,0.10813769839829725,0.30504478402203,0.4200499372635707
test,localized,ridge_linear,8,54,0.9263737775661327,0.9627397358417511,0.1047489647885779,0.10789024573615867,0.3094220923275503,0.4136470475229964
test,localized,ridge_nonnegative,16,54,0.9263737775661327,0.9903944587266004,0.10366439960214874,0.10677315589458458,0.30098323970457325,0.411624467175489
test,localized,ridge_nonnegative,32,54,0.9263737775661327,0.9992909409381725,0.10412100746341524,0.10724345681313338,0.300940196523652,0.4174463153123226
test,localized,ridge_nonnegative,64,54,0.9263737775661327,0.9999999735090468,0.10423378966312513,0.10735962119973066,0.301071324214945,0.418450649510125
test,localized,ridge_nonnegative,8,54,0.9263737775661327,0.9627397358417511,0.10371856208749357,0.10682894264021332,0.30495698224460543,0.40800679823812414
test,transitional,oracle_linear,16,39,0.5071497284449064,0.8955392302610935,0.1535584291212581,0.24282005341348514,0.29371066716516125,0.3179241723129622
test,transitional,oracle_linear,32,39,0.5071497284449064,0.9805646064953927,0.12471253909873474,0.19720640266105643,0.23637252064274833,0.2672305823638943
test,transitional,oracle_linear,64,39,0.5071497284449064,1.0,0.09636713287566037,0.15238416077892056,0.19080590350826088,0.21195647568657286
test,transitional,oracle_linear,8,39,0.5071497284449064,0.7693875432014465,0.17963395471273472,0.2840529609988266,0.3343212655540769,0.34807397693957287
test,transitional,oracle_nonnegative,16,39,0.5071497284449064,0.8955392302610935,0.1550933459369653,0.24524719847682103,0.29489581904011525,0.32225400989156094
test,transitional,oracle_nonnegative,32,39,0.5071497284449064,0.9805646064953927,0.12699755433089377,0.20081966911538662,0.237391950806201,0.2774121828856134
test,transitional,oracle_nonnegative,64,39,0.5071497284449064,1.0,0.09913811256890165,0.15676587685254104,0.19239862354329162,0.22777474139935067
test,transitional,oracle_nonnegative,8,39,0.5071497284449064,0.7693875432014465,0.18015117978972378,0.2848708426451809,0.3360951158020271,0.3477256742603677
test,transitional,ridge_linear,16,39,0.5071497284449064,0.8955392302610935,0.270888480478748,0.42835261909983574,0.4944065409593171,0.5289825657502087
test,transitional,ridge_linear,32,39,0.5071497284449064,0.9805646064953927,0.2733377657950381,0.43222564381576856,0.493468097125795,0.5384517541144491
test,transitional,ridge_linear,64,39,0.5071497284449064,1.0,0.27328458932976896,0.4321415565259278,0.49329267385469744,0.5375758510758261
test,transitional,ridge_linear,8,39,0.5071497284449064,0.7693875432014465,0.2662826859491731,0.4210695329150991,0.47466075414683495,0.5274188009405838
