prompt_id,layer,head_index,variant,relative_av_l2,av_numerator_sq,av_denominator_sq,dense_capture_parity
calib_fluid_s1,0,0,centroid_k_only,0.08597208559513092,87.42013549804688,11827.59765625,0.0007484668749384582
calib_fluid_s1,0,1,centroid_k_only,0.05715731531381607,116.24678039550781,35582.56640625,0.0013855071738362312
calib_fluid_s1,0,2,centroid_k_only,0.06782182306051254,58.34031677246094,12683.23046875,0.0006151401321403682
calib_fluid_s1,0,3,centroid_k_only,0.054913513362407684,27.163177490234375,9007.8701171875,0.0005429477896541357
calib_fluid_s1,0,4,centroid_k_only,0.07832644879817963,218.56787109375,35626.1953125,0.0018873019143939018
calib_fluid_s1,0,5,centroid_k_only,0.08320301026105881,171.97584533691406,24842.1640625,0.0016997777856886387
calib_fluid_s1,0,6,centroid_k_only,0.15675494074821472,516.5209350585938,21020.615234375,0.0010447273962199688
calib_fluid_s1,0,7,centroid_k_only,0.11719535291194916,141.60836791992188,10310.224609375,0.0012594006257131696
calib_fluid_s1,0,8,centroid_k_only,0.08378585427999496,34.46906280517578,4910.07421875,0.0006108018569648266
calib_fluid_s1,0,9,centroid_k_only,0.14876477420330048,79.46279907226562,3590.572265625,0.0007717185653746128
calib_fluid_s1,0,10,centroid_k_only,0.13463526964187622,216.34829711914062,11935.3671875,0.0005638267030008137
calib_fluid_s1,0,11,centroid_k_only,0.07474728673696518,260.7481994628906,46669.2109375,0.001627221005037427
calib_fluid_s1,0,0,centroid_v_only,0.14008334279060364,232.09701538085938,11827.59765625,0.0007484668749384582
calib_fluid_s1,0,1,centroid_v_only,0.29939156770706177,3189.45458984375,35582.56640625,0.0013855071738362312
calib_fluid_s1,0,2,centroid_v_only,0.092209592461586,107.84054565429688,12683.23046875,0.0006151401321403682
calib_fluid_s1,0,3,centroid_v_only,0.05475866049528122,27.010196685791016,9007.8701171875,0.0005429477896541357
calib_fluid_s1,0,4,centroid_v_only,0.6571739315986633,15386.154296875,35626.1953125,0.0018873019143939018
calib_fluid_s1,0,5,centroid_v_only,0.49390578269958496,6060.0703125,24842.1640625,0.0016997777856886387
calib_fluid_s1,0,6,centroid_v_only,0.2693040072917938,1524.5126953125,21020.615234375,0.0010447273962199688
calib_fluid_s1,0,7,centroid_v_only,0.3188405930995941,1048.130615234375,10310.224609375,0.0012594006257131696
calib_fluid_s1,0,8,centroid_v_only,0.07162760198116302,25.19120216369629,4910.07421875,0.0006108018569648266
calib_fluid_s1,0,9,centroid_v_only,0.2082955688238144,155.78431701660156,3590.572265625,0.0007717185653746128
calib_fluid_s1,0,10,centroid_v_only,0.19186726212501526,439.377197265625,11935.3671875,0.0005638267030008137
calib_fluid_s1,0,11,centroid_v_only,0.6324353814125061,18666.494140625,46669.2109375,0.001627221005037427
calib_fluid_s1,0,0,centroid_both,0.1644332855939865,319.7981872558594,11827.59765625,0.0007484668749384582
calib_fluid_s1,0,1,centroid_both,0.30088934302330017,3221.446044921875,35582.56640625,0.0013855071738362312
calib_fluid_s1,0,2,centroid_both,0.11668621003627777,172.69070434570312,12683.23046875,0.0006151401321403682
calib_fluid_s1,0,3,centroid_both,0.08381041884422302,63.27294921875,9007.8701171875,0.0005429477896541357
calib_fluid_s1,0,4,centroid_both,0.6587156653404236,15458.431640625,35626.1953125,0.0018873019143939018
calib_fluid_s1,0,5,centroid_both,0.49639809131622314,6121.38330078125,24842.1640625,0.0016997777856886387
calib_fluid_s1,0,6,centroid_both,0.3101857304573059,2022.50244140625,21020.615234375,0.0010447273962199688
calib_fluid_s1,0,7,centroid_both,0.3331491947174072,1144.315185546875,10310.224609375,0.0012594006257131696
calib_fluid_s1,0,8,centroid_both,0.12003351747989655,70.74457550048828,4910.07421875,0.0006108018569648266
calib_fluid_s1,0,9,centroid_both,0.27832239866256714,278.1378173828125,3590.572265625,0.0007717185653746128
calib_fluid_s1,0,10,centroid_both,0.2444528490304947,713.2240600585938,11935.3671875,0.0005638267030008137
calib_fluid_s1,0,11,centroid_both,0.6345194578170776,18789.72265625,46669.2109375,0.001627221005037427
calib_fluid_s1,14,0,qvg_k_only,0.13975965976715088,647.2583618164062,33137.0625,0.0011600491125136614
calib_fluid_s1,14,1,qvg_k_only,0.12566441297531128,859.466796875,54425.75,0.0009859257843345404
calib_fluid_s1,14,2,qvg_k_only,0.10312242060899734,204.68490600585938,19247.736328125,0.0009567022789269686
calib_fluid_s1,14,3,qvg_k_only,0.08185034990310669,215.1313018798828,32111.64453125,0.000990264699794352
calib_fluid_s1,14,4,qvg_k_only,0.18224382400512695,927.3493041992188,27921.43359375,0.0012280609225854278
calib_fluid_s1,14,5,qvg_k_only,0.052561379969120026,73.44023132324219,26582.791015625,0.0008054310455918312
