candidate_role,selection_scope,evaluation_scope,method,correction,rank,layer,head,aggregate_error_percent,worst_error_percent,passes_0p5_1p0_gate,minimum_arithmetic_reduction,records
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,0,6,0.21151891600884962,0.2167170401662588,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,0,7,0.6178970661975131,0.8814944885671139,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,0,8,0.2140778062489515,0.22792897652834654,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,0,9,0.22736829049297982,0.2406202256679535,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,0,10,0.19151600831816287,0.20348518155515194,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,0,11,0.18273211268531936,0.2102316590026021,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,14,0,3.4632404066865186,5.233472585678101,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,14,1,9.282268583539862,11.00892499089241,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,14,2,13.239550469240665,16.84005707502365,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,14,3,3.1353629131249976,3.959590196609497,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,14,4,1.7878295094618666,2.670488692820072,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,14,5,1.3535948329212124,1.979333534836769,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,14,6,2.776705420263525,3.490741178393364,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,14,7,5.567414098103648,6.525636464357376,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,14,8,1.3423374929650256,1.989472284913063,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,14,9,4.026943331534411,4.668981954455376,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,14,10,1.4345636073764874,1.9708162173628807,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,14,11,8.686058172973638,9.960101544857025,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,29,0,0.06483964461788659,0.07839501486159861,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,29,1,0.6819088228604904,0.8566631935536861,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,29,2,0.21502392027124895,0.29354270081967115,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,29,3,3.3424540295572727,5.3019944578409195,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,29,4,0.8450385295252674,1.0668597184121609,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,29,5,1.268871639564302,1.701076328754425,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,29,6,0.4714316786546349,0.5385481286793947,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,29,7,0.6387916109898667,0.7970229722559452,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,29,8,2.5485423544864187,3.1768333166837692,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,29,9,0.005312448167318136,0.010138258221559227,True,1.5,16
