scope,method,correction,records,captures,aggregate_relative_av_l2,mean_head_relative_av_l2,worst_head_relative_av_l2,minimum_cache_compression_ratio,maximum_dense_reference_parity
test,canonical_window_fixed_d0p10,none,24,2,0.16175716011151234,0.10665300102361168,0.291908860206604,1.5929130296648608,0.00133819121401757
test,canonical_window_fixed_d0p19,adaptive_rank16,24,2,0.08077228170938826,0.04428736082627438,0.1487332135438919,1.5028827895555785,0.00133819121401757
test,canonical_window_fixed_d0p19,none,24,2,0.14499057889107692,0.10507997949995722,0.25042930245399475,1.5028827895555785,0.00133819121401757
test,canonical_window_staggered_d0p10,adaptive_rank16,24,2,0.08721214654321564,0.04535131664791455,0.16315802931785583,1.5929130296648608,0.00133819121401757
test,canonical_window_staggered_d0p10,none,24,2,0.16341761116874895,0.10557086754124612,0.2979115843772888,1.5929130296648608,0.00133819121401757
test,canonical_window_staggered_d0p19,adaptive_rank16,24,2,0.08102751413344059,0.043958844151347876,0.14979568123817444,1.5028827895555785,0.00133819121401757
test,canonical_window_staggered_d0p19,none,24,2,0.14492272789361105,0.10214930766960606,0.25548624992370605,1.5028827895555785,0.00133819121401757
held_out,canonical_global_shared_d0p19,adaptive_rank16,48,4,0.0800634926451269,0.04429313929964943,0.15300102531909943,1.5028880917844127,0.00133819121401757
held_out,canonical_global_shared_d0p19,none,48,4,0.14141981893558672,0.10025798704979631,0.2544906437397003,1.5028880917844127,0.00133819121401757
held_out,canonical_identity_d0p19,adaptive_rank16,48,4,0.08072689792120111,0.045524696057934,0.15300102531909943,1.5028880917844127,0.00133819121401757
held_out,canonical_identity_d0p19,none,48,4,0.14283886258249928,0.10286800909671001,0.2544906437397003,1.5028880917844127,0.00133819121401757
held_out,canonical_window_fixed_d0p10,adaptive_rank16,48,4,0.08572505296112512,0.046633700131981946,0.16114386916160583,1.5929130296648608,0.00133819121401757
held_out,canonical_window_fixed_d0p10,none,48,4,0.15498742158040862,0.10512836931836016,0.291908860206604,1.5929130296648608,0.00133819121401757
held_out,canonical_window_fixed_d0p19,adaptive_rank16,48,4,0.08257514714702445,0.045482332842463315,0.15956436097621918,1.5028827895555785,0.00133819121401757
held_out,canonical_window_fixed_d0p19,none,48,4,0.14551795531744757,0.1029033885812775,0.263945072889328,1.5028827895555785,0.00133819121401757
