layer,split,method,codec,predictor,selected_fraction,index_bits,group_dim,nominal_bps,codebook_static_bits,codebook_sha256,mse,nmse,mean_cosine,p05_cosine,payload_bits,metadata_bits,payload_bps,effective_bps,index_entropy,index_entropy_bps,residual_top10_energy
15,test,residual_pq,pq_4b_k256_d2,ema_050,0.5,8,2,2.5,8192,95c52741312fa9ecaab2b3d57d08d4d5df3c438078fca5cb903338e1e95f9a81,0.00013428175463400688,0.13750451682394002,0.9309175568107291,0.7086259563988992,5570560.0,1231360.0,2.5947265625,2.5978515625,7.5238927813532435,2.380973195338311,0.5024560832630381
15,test,residual_pq,pq_4b_k256_d2,ema_050,1.0,8,2,4.0,8192,95c52741312fa9ecaab2b3d57d08d4d5df3c438078fca5cb903338e1e95f9a81,9.415215312957613e-05,0.09641180485987866,0.9536593894410613,0.7469969480042983,10485760.0,2560.0,4.0009765625,4.0041015625,7.499568886272748,3.749784443136374,0.65354593914779
15,val,scalar_quant,int2,,1.0,2,1,2.0,0,,0.0007074455244160945,0.7244242188638973,0.522347832234724,0.3715991340537922,2621440.0,20480.0,2.015625,2.015625,nan,nan,0.12220954860619958
15,test,scalar_quant,int2,,1.0,2,1,2.0,0,,0.0006917970806487041,0.7084002109898098,0.5341247535431621,0.3712720557420291,5242880.0,40960.0,2.015625,2.015625,nan,nan,0.12483599250297504
15,val,scalar_quant,int4,,1.0,4,1,4.0,0,,0.00020104554949513633,0.20587064321212029,0.903181828110791,0.7988197185513304,5242880.0,20480.0,4.015625,4.015625,nan,nan,0.1966000868611708
15,test,scalar_quant,int4,,1.0,4,1,4.0,0,,0.000198996132311598,0.20377203960372936,0.9037523919825189,0.8032895068472652,10485760.0,40960.0,4.015625,4.015625,nan,nan,0.1939410673670206
15,val,scalar_quant,int8,,1.0,8,1,8.0,0,,1.10462084084588e-06,0.0011311317439332618,0.9994357132596768,0.9981256801857857,10485760.0,20480.0,8.015625,8.015625,nan,nan,0.33773561700719656
15,test,scalar_quant,int8,,1.0,8,1,8.0,0,,1.1748275317162201e-06,0.0012030233931661022,0.9993999616821825,0.9980615088415213,20971520.0,40960.0,8.015625,8.015625,nan,nan,0.33443664158658937
22,val,raw_pq,pq_0p5b_k16_d8,,1.0,4,8,0.5,2048,b2dbaa51bf0b0e830fab78d3c754baf19a241a31da65f3ca6adc9c12e744c820,0.0005959811408944549,0.6102846896586075,0.6236923025274194,0.5778830862594275,655360.0,0.0,0.5,0.5015625,3.8518569778055287,0.4814821222256911,0.11405384738776848
22,val,residual_pq,pq_0p5b_k16_d8,ema_075,0.25,4,8,0.25,2048,edf573e12aded282f9f61387ea46717c0ad474817e8e9e42c4556fbefefd11e9,0.0006848944173175693,0.7013318849221568,0.6217769366644854,-0.2712146192982582,481280.0,154880.0,0.4853515625,0.4869140625,3.189694744716312,0.22467796077238475,0.33114443883620787
