operator,group,normalization,index,eigenvalue,above_spike_threshold,series,spike_threshold,eigenvalue_over_threshold
C_FORECAST_1,all_blocks,channel_standardized,26,5.260942459106445,1,F1.00 std,2.0537760185117304,2.561595038449611
C_FORECAST_1,all_blocks,channel_standardized,27,5.202577590942383,1,F1.00 std,2.0537760185117304,2.533176716471951
C_FORECAST_1,all_blocks,channel_standardized,28,5.108062744140625,1,F1.00 std,2.0537760185117304,2.487156680231462
C_FORECAST_1,all_blocks,channel_standardized,29,5.051120758056641,1,F1.00 std,2.0537760185117304,2.4594311709399244
C_FORECAST_1,all_blocks,channel_standardized,30,5.0126051902771,1,F1.00 std,2.0537760185117304,2.4406776323688333
C_FORECAST_1,all_blocks,channel_standardized,31,4.89674711227417,1,F1.00 std,2.0537760185117304,2.3842654058365134
C_FORECAST_1,all_blocks,channel_standardized,32,4.835585117340088,1,F1.00 std,2.0537760185117304,2.354485140421591
C_FORECAST_1,all_blocks,channel_standardized,33,4.793215274810791,1,F1.00 std,2.0537760185117304,2.3338549245911424
C_FORECAST_1,all_blocks,channel_standardized,34,4.690788745880127,1,F1.00 std,2.0537760185117304,2.2839826269270147
C_FORECAST_1,all_blocks,channel_standardized,35,4.619056701660156,1,F1.00 std,2.0537760185117304,2.249055719818638
C_FORECAST_1,all_blocks,channel_standardized,36,4.532577037811279,1,F1.00 std,2.0537760185117304,2.206948078542573
C_FORECAST_1,all_blocks,channel_standardized,37,4.517345428466797,1,F1.00 std,2.0537760185117304,2.1995316859042364
C_FORECAST_1,all_blocks,channel_standardized,38,4.443464756011963,1,F1.00 std,2.0537760185117304,2.163558594491682
C_FORECAST_1,all_blocks,channel_standardized,39,4.407495975494385,1,F1.00 std,2.0537760185117304,2.1460451070454503
C_FORECAST_1,all_blocks,channel_standardized,40,4.367654323577881,1,F1.00 std,2.0537760185117304,2.126645887482367
C_FORECAST_1,all_blocks,channel_standardized,41,4.278815746307373,1,F1.00 std,2.0537760185117304,2.0833896723597047
C_FORECAST_1,all_blocks,channel_standardized,42,4.233827590942383,1,F1.00 std,2.0537760185117304,2.061484579029425
C_FORECAST_1,all_blocks,channel_standardized,43,4.16496467590332,1,F1.00 std,2.0537760185117304,2.0279546739091168
C_FORECAST_1,all_blocks,channel_standardized,44,4.14673376083374,1,F1.00 std,2.0537760185117304,2.0190778952802617
C_FORECAST_1,all_blocks,channel_standardized,45,4.084303379058838,1,F1.00 std,2.0537760185117304,1.988680042149158
C_FORECAST_1,all_blocks,channel_standardized,46,4.023333549499512,1,F1.00 std,2.0537760185117304,1.9589933435949953
C_FORECAST_1,all_blocks,channel_standardized,47,3.91471004486084,1,F1.00 std,2.0537760185117304,1.9061036888032397
C_FORECAST_1,all_blocks,channel_standardized,48,3.901180505752564,1,F1.00 std,2.0537760185117304,1.899516047801335
C_FORECAST_1,all_blocks,channel_standardized,49,3.88254451751709,1,F1.00 std,2.0537760185117304,1.8904420358022183
C_FORECAST_1,all_blocks,channel_standardized,50,3.834495067596436,1,F1.00 std,2.0537760185117304,1.8670463736231102
C_FORECAST_1,all_blocks,channel_standardized,51,3.811366558074951,1,F1.00 std,2.0537760185117304,1.855784917011963
C_FORECAST_1,all_blocks,channel_standardized,52,3.791213035583496,1,F1.00 std,2.0537760185117304,1.8459720054238438
C_FORECAST_1,all_blocks,channel_standardized,53,3.756280660629273,1,F1.00 std,2.0537760185117304,1.8289631521509648
C_FORECAST_1,all_blocks,channel_standardized,54,3.7085835933685294,1,F1.00 std,2.0537760185117304,1.8057390679125545
C_FORECAST_1,all_blocks,channel_standardized,55,3.687602043151856,1,F1.00 std,2.0537760185117304,1.7955229829901695
C_FORECAST_1,all_blocks,channel_standardized,56,3.638439655303955,1,F1.00 std,2.0537760185117304,1.771585422416487
C_FORECAST_1,all_blocks,channel_standardized,57,3.5952842235565186,1,F1.00 std,2.0537760185117304,1.7505726969009223
C_FORECAST_1,all_blocks,channel_standardized,58,3.589230537414551,1,F1.00 std,2.0537760185117304,1.7476251086111563
C_FORECAST_1,all_blocks,channel_standardized,59,3.5746190547943115,1,F1.00 std,2.0537760185117304,1.7405106606438323
C_FORECAST_1,all_blocks,channel_standardized,60,3.5386080741882324,1,F1.00 std,2.0537760185117304,1.722976625636366
C_FORECAST_1,all_blocks,channel_standardized,61,3.537172079086304,1,F1.00 std,2.0537760185117304,1.7222774281148328
C_FORECAST_1,all_blocks,channel_standardized,62,3.500575304031372,1,F1.00 std,2.0537760185117304,1.7044581650963406
C_FORECAST_1,all_blocks,channel_standardized,63,3.470371961593628,1,F1.00 std,2.0537760185117304,1.6897519156487348
C_FORECAST_1,all_blocks,channel_standardized,64,3.4465763568878174,1,F1.00 std,2.0537760185117304,1.6781656450470097
C_FORECAST_1,all_blocks,channel_standardized,65,3.396669626235962,1,F1.00 std,2.0537760185117304,1.653865657997779
C_FORECAST_1,all_blocks,channel_standardized,66,3.3886642456054688,1,F1.00 std,2.0537760185117304,1.6499677740229266
C_FORECAST_1,all_blocks,channel_standardized,67,3.3723220825195312,1,F1.00 std,2.0537760185117304,1.642010643869182
C_FORECAST_1,all_blocks,channel_standardized,68,3.339318037033081,1,F1.00 std,2.0537760185117304,1.6259407096655647
C_FORECAST_1,all_blocks,channel_standardized,69,3.326477289199829,1,F1.00 std,2.0537760185117304,1.6196884466546464
C_FORECAST_1,all_blocks,channel_standardized,70,3.2988667488098145,1,F1.00 std,2.0537760185117304,1.6062446532997983
C_FORECAST_1,all_blocks,channel_standardized,71,3.262784957885742,1,F1.00 std,2.0537760185117304,1.5886761401811091
C_FORECAST_1,all_blocks,channel_standardized,72,3.2586042881011963,1,F1.00 std,2.0537760185117304,1.5866405385639595
C_FORECAST_1,all_blocks,channel_standardized,73,3.224826574325561,1,F1.00 std,2.0537760185117304,1.5701938990710549
C_FORECAST_1,all_blocks,channel_standardized,74,3.2144508361816406,1,F1.00 std,2.0537760185117304,1.56514186902961
C_FORECAST_1,all_blocks,channel_standardized,75,3.1881096363067627,1,F1.00 std,2.0537760185117304,1.5523161277426092
C_FORECAST_1,all_blocks,channel_standardized,76,3.158956289291382,1,F1.00 std,2.0537760185117304,1.5381211294796016
C_FORECAST_1,all_blocks,channel_standardized,77,3.1401991844177246,1,F1.00 std,2.0537760185117304,1.5289881448188645
