layer,endpoint,scheduler_index,timestep,method,velocity_relative_l2,velocity_mean_relative_l2,velocity_p95_relative_l2,activation_relative_l2,rank8_energy,coefficient_r2
0,1,22,77,state_skip4,0.030969723511454064,0.025640549138188362,0.06401634123176335,0.13865373198642256,0.9346624333343209,0.9997352639413336
0,1,22,77,state_noise_skip1,0.03033677031728473,0.0250877495855093,0.062307414039969436,0.13842225221324736,0.9346624333343209,0.9999853908361601
0,1,22,77,state_noise_skip2,0.030570006158205012,0.02532561682164669,0.06343140061944723,0.13846270063544883,0.9346624333343209,0.9999417095384506
0,1,22,77,state_noise_skip4,0.03124613018384882,0.026041632518172264,0.06541826482862233,0.13863840847899367,0.9346624333343209,0.9997518340145135
1,1,22,77,raw_reuse,0.04276024109301037,0.042107343673706055,0.06868864819407464,0.4416179283503168,0.787134277530788,nan
1,1,22,77,shift_reuse,0.033461917601332145,0.031965821981430054,0.056129625625908376,0.44011988459871926,0.787134277530788,nan
1,1,22,77,shift_local_r2,0.013305589410831061,0.012358106672763824,0.02385076433420181,0.29735471580009365,0.787134277530788,nan
1,1,22,77,shift_rank8_oracle,0.006013550803812615,0.005552005022764206,0.010031223064288497,0.20305975458599884,0.787134277530788,nan
1,1,22,77,state_skip1,0.006006539920705552,0.005541397258639336,0.009995734924450517,0.2030745858177496,0.787134277530788,0.9999509536253606
1,1,22,77,state_skip2,0.006011447584004285,0.005544842686504126,0.009989200253039598,0.2031223182608993,0.787134277530788,0.999792912050435
1,1,22,77,state_skip4,0.0060873688103444,0.005624470766633749,0.010084454528987407,0.20332924074725345,0.787134277530788,0.9991074060110247
1,1,22,77,state_noise_skip1,0.006011606419741794,0.005547016859054565,0.010023444145917892,0.20307559094640742,0.787134277530788,0.9999475732152403
1,1,22,77,state_noise_skip2,0.0060219627805701515,0.005556561052799225,0.010021458519622684,0.20312694185272523,0.787134277530788,0.9997776423437379
1,1,22,77,state_noise_skip4,0.006110018245027794,0.005649760831147432,0.010129806399345399,0.20334889659656172,0.787134277530788,0.9990422684289582
2,1,22,77,raw_reuse,0.015256683389085177,0.012194216251373291,0.030428870953619472,0.359116844335772,0.7487388813027605,nan
2,1,22,77,shift_reuse,0.015356047777558344,0.012029044330120087,0.032826091628521674,0.36365687345850944,0.7487388813027605,nan
2,1,22,77,shift_local_r2,0.013584945374079121,0.011732089333236217,0.028787186555564396,0.3048627060253969,0.7487388813027605,nan
2,1,22,77,shift_rank8_oracle,0.011439553774964877,0.009874927811324596,0.020673971157521003,0.18228647429865083,0.7487388813027605,nan
