case,block,accept_probability,verification_ratio_vs_batch1,draft_ratio,speedup_upper_bound,ratio_source,verification_scope
F17,4,0.85,3.8196734085805546,0.0,0.8342663518932094,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.86,3.8196734085805546,0.0,0.8471027896603379,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.87,3.8196734085805546,0.0,0.8601266780085534,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.88,3.8196734085805546,0.0,0.8733395877527805,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.89,3.8196734085805546,0.0,0.8867430897079454,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.9,3.8196734085805546,0.0,0.9003387546889727,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.91,3.8196734085805546,0.0,0.914128153510788,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.92,3.8196734085805546,0.0,0.9281128569883166,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.93,3.8196734085805546,0.0,0.9422944359364838,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.9400000000000001,3.8196734085805546,0.0,0.9566744611702148,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.9500000000000001,3.8196734085805546,0.0,0.9712545035044352,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.96,3.8196734085805546,0.0,0.9860361337540698,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.97,3.8196734085805546,0.0,1.0010209227340445,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.98,3.8196734085805546,0.0,1.0162104412592843,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.99,3.8196734085805546,0.0,1.0316062601447145,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,1.0,3.8196734085805546,0.0,1.0472099502052605,measured_F17_full_wan_model_H200,full Wan target forward only
F17,8,0.0,8.0,0.0,0.125,linear_full_model_assumption,full Wan target forward only
F17,8,0.01,8.0,0.0,0.12626262626262624,linear_full_model_assumption,full Wan target forward only
F17,8,0.02,8.0,0.0,0.12755102040816,linear_full_model_assumption,full Wan target forward only
F17,8,0.03,8.0,0.0,0.12886597938135874,linear_full_model_assumption,full Wan target forward only
F17,8,0.04,8.0,0.0,0.13020833333248003,linear_full_model_assumption,full Wan target forward only
F17,8,0.05,8.0,0.0,0.13157894736328124,linear_full_model_assumption,full Wan target forward only
F17,8,0.06,8.0,0.0,0.13297872338192002,linear_full_model_assumption,full Wan target forward only
F17,8,0.07,8.0,0.0,0.13440860207305375,linear_full_model_assumption,full Wan target forward only
F17,8,0.08,8.0,0.0,0.13586956498944003,linear_full_model_assumption,full Wan target forward only
F17,8,0.09,8.0,0.0,0.13736263677133628,linear_full_model_assumption,full Wan target forward only
F17,8,0.1,8.0,0.0,0.1388888875,linear_full_model_assumption,full Wan target forward only
F17,8,0.11,8.0,0.0,0.14044943519158876,linear_full_model_assumption,full Wan target forward only
F17,8,0.12,8.0,0.0,0.14204544843776004,linear_full_model_assumption,full Wan target forward only
F17,8,0.13,8.0,0.0,0.14367814919927124,linear_full_model_assumption,full Wan target forward only
F17,8,0.14,8.0,0.0,0.14534881575888003,linear_full_model_assumption,full Wan target forward only
F17,8,0.15,8.0,0.0,0.14705878583984372,linear_full_model_assumption,full Wan target forward only
F17,8,0.16,8.0,0.0,0.14880945989632002,linear_full_model_assumption,full Wan target forward only
F17,8,0.17,8.0,0.0,0.15060230458196622,linear_full_model_assumption,full Wan target forward only
F17,8,0.18,8.0,0.0,0.15243885640303997,linear_full_model_assumption,full Wan target forward only
F17,8,0.19,8.0,0.0,0.15432072556229876,linear_full_model_assumption,full Wan target forward only
F17,8,0.2,8.0,0.0,0.15624960000000002,linear_full_model_assumption,full Wan target forward only
F17,8,0.21,8.0,0.0,0.15822724963830123,linear_full_model_assumption,full Wan target forward only
F17,8,0.22,8.0,0.0,0.16025553083535998,linear_full_model_assumption,full Wan target forward only
F17,8,0.23,8.0,0.0,0.16233639105543377,linear_full_model_assumption,full Wan target forward only
F17,8,0.24,8.0,0.0,0.16447187376128003,linear_full_model_assumption,full Wan target forward only
F17,8,0.25,8.0,0.0,0.16666412353515625,linear_full_model_assumption,full Wan target forward only
F17,8,0.26,8.0,0.0,0.16891539143472,linear_full_model_assumption,full Wan target forward only
F17,8,0.27,8.0,0.0,0.17122804059012872,linear_full_model_assumption,full Wan target forward only
F17,8,0.28,8.0,0.0,0.17360455204864,linear_full_model_assumption,full Wan target forward only
F17,8,0.29,8.0,0.0,0.17604753087301125,linear_full_model_assumption,full Wan target forward only
F17,8,0.3,8.0,0.0,0.1785597125,linear_full_model_assumption,full Wan target forward only
F17,8,0.31,8.0,0.0,0.18114396936526375,linear_full_model_assumption,full Wan target forward only
F17,8,0.32,8.0,0.0,0.18380331780096001,linear_full_model_assumption,full Wan target forward only
F17,8,0.33,8.0,0.0,0.18654092521234625,linear_full_model_assumption,full Wan target forward only
F17,8,0.34,8.0,0.0,0.18936011753968002,linear_full_model_assumption,full Wan target forward only
F17,8,0.35000000000000003,8.0,0.0,0.19226438701171877,linear_full_model_assumption,full Wan target forward only
F17,8,0.36,8.0,0.0,0.19525740019711996,linear_full_model_assumption,full Wan target forward only
F17,8,0.37,8.0,0.0,0.1983430063600413,linear_full_model_assumption,full Wan target forward only
F17,8,0.38,8.0,0.0,0.20152524612624,linear_full_model_assumption,full Wan target forward only
F17,8,0.39,8.0,0.0,0.20480836046597373,linear_full_model_assumption,full Wan target forward only
F17,8,0.4,8.0,0.0,0.20819680000000004,linear_full_model_assumption,full Wan target forward only
F17,8,0.41000000000000003,8.0,0.0,0.21169523463497628,linear_full_model_assumption,full Wan target forward only
F17,8,0.42,8.0,0.0,0.21530856353455996,linear_full_model_assumption,full Wan target forward only
F17,8,0.43,8.0,0.0,0.21904192543250878,linear_full_model_assumption,full Wan target forward only
F17,8,0.44,8.0,0.0,0.22290070929407999,linear_full_model_assumption,full Wan target forward only
F17,8,0.45,8.0,0.0,0.22689056533203122,linear_full_model_assumption,full Wan target forward only
F17,8,0.46,8.0,0.0,0.23101741638352002,linear_full_model_assumption,full Wan target forward only
F17,8,0.47000000000000003,8.0,0.0,0.23528746965420375,linear_full_model_assumption,full Wan target forward only
F17,8,0.48,8.0,0.0,0.23970722883584,linear_full_model_assumption,full Wan target forward only
F17,8,0.49,8.0,0.0,0.24428350660368625,linear_full_model_assumption,full Wan target forward only
F17,8,0.5,8.0,0.0,0.2490234375,linear_full_model_assumption,full Wan target forward only
F17,8,0.51,8.0,0.0,0.2539344912099388,linear_full_model_assumption,full Wan target forward only
