sample_id,split,block,target_step,branch,horizon,target_visible,base_renderer,residual_target_sq,output_target_sq,defect_total_energy,tokens,channels,estimated_exact_block_macs,base_renderer_macs,base_fit_and_rollout_ms,rank,error_sq,residual_relative_l2,output_relative_l2,defect_remaining_energy,state_factor_values,state_factor_bytes_fp16,render_macs,render_to_exact_macs,base_plus_render_macs,base_plus_render_to_exact_macs,svd_ms
p05_seed2026082206,selection,20,6,0,3,True,causal_current_input_channel_diagonal,669104.4164710732,4965308.9768484505,236292.66849462956,7800,1536,475206451200,143769600,2.5298376567661762,64,61097.87127799116,0.30218026056429703,0.11092767241000043,0.25856862869238656,597504,1195008,1533542400,0.003227107704719645,1677312000,0.0035296490520371118,9.210688062012196
p05_seed2026082206,selection,20,6,0,3,True,causal_current_input_channel_diagonal,669104.4164710732,4965308.9768484505,236292.66849462956,7800,1536,475206451200,143769600,2.5298376567661762,96,51757.45046669047,0.27812465483255433,0.10209707458322045,0.21903959519138083,896256,1792512,2300313600,0.004840661557079467,2444083200,0.0051432029043969344,9.210688062012196
p05_seed2026082206,selection,20,4,1,1,True,causal_current_input_channel_diagonal,525087.7027407713,5394918.788822209,89406.02439970031,7800,1536,475206451200,47923200,2.2857519797980785,0,89406.02439970031,0.41263633559751506,0.12873331001381044,1.0,0,0,0,0.0,47923200,0.0001008471157724889,0.0
p05_seed2026082206,selection,20,4,1,1,True,causal_current_input_channel_diagonal,525087.7027407713,5394918.788822209,89406.02439970031,7800,1536,475206451200,47923200,2.2857519797980785,8,38622.95643733895,0.27121070859758106,0.08461167671625636,0.4319950102724976,74688,149376,191692800,0.0004033884630899556,239616000,0.0005042355788624445,9.338597767055035
p05_seed2026082206,selection,20,4,1,1,True,causal_current_input_channel_diagonal,525087.7027407713,5394918.788822209,89406.02439970031,7800,1536,475206451200,47923200,2.2857519797980785,16,33963.633718416226,0.2543262282398229,0.07934409638751502,0.37988081831286774,149376,298752,383385600,0.0008067769261799112,431308800,0.0009076240419524002,9.338597767055035
p05_seed2026082206,selection,20,4,1,1,True,causal_current_input_channel_diagonal,525087.7027407713,5394918.788822209,89406.02439970031,7800,1536,475206451200,47923200,2.2857519797980785,32,28515.094320729782,0.23303517653485353,0.07270176433091852,0.31893929414725075,298752,597504,766771200,0.0016135538523598225,814694400,0.0017144009681323113,9.338597767055035
p05_seed2026082206,selection,20,4,1,1,True,causal_current_input_channel_diagonal,525087.7027407713,5394918.788822209,89406.02439970031,7800,1536,475206451200,47923200,2.2857519797980785,64,22454.051025234745,0.2067909026218742,0.06451413770120183,0.25114695761425204,597504,1195008,1533542400,0.003227107704719645,1581465600,0.003327954820492134,9.338597767055035
p05_seed2026082206,selection,20,4,1,1,True,causal_current_input_channel_diagonal,525087.7027407713,5394918.788822209,89406.02439970031,7800,1536,475206451200,47923200,2.2857519797980785,96,18809.81113253071,0.18926760810078266,0.05904726163760835,0.21038639459421954,896256,1792512,2300313600,0.004840661557079467,2348236800,0.004941508672851956,9.338597767055035
p05_seed2026082206,selection,20,4,1,2,True,causal_current_input_channel_diagonal,525087.7027407713,5394918.788822209,159509.4875926628,7800,1536,475206451200,95846400,2.112362999469042,0,159509.4875926628,0.5511595491592596,0.17194945521762783,1.0,0,0,0,0.0,95846400,0.0002016942315449778,0.0
p05_seed2026082206,selection,20,4,1,2,True,causal_current_input_channel_diagonal,525087.7027407713,5394918.788822209,159509.4875926628,7800,1536,475206451200,95846400,2.112362999469042,8,60853.6847143342,0.3404297581739423,0.10620647242195154,0.38150511155328604,74688,149376,191692800,0.0004033884630899556,287539200,0.0006050826946349334,9.089782368391752
