category,layer,mode,method,capacity,delay,run_count,observation_count,mean_cosine_mean,mean_cosine_std,median_cosine_mean,median_cosine_std,mean_relative_l2_mean,mean_relative_l2_std,coverage_mean,coverage_std,cosine_gain_vs_recent
static,0,frame_centered_unit,instant_adaptive,16,1,6,90,0.9945462667260221,0.05126183174814837,0.9944437841887072,0.05235872336058153,0.013884270434583401,0.10291809592221146,0.9888888888888889,0.10482201257840673,0.0
static,0,frame_centered_unit,instant_adaptive,16,2,6,84,0.9941368839310604,0.05303237161053124,0.9940385961253714,0.05418647126117903,0.01622197967348123,0.10638943441360113,0.9880952380952381,0.10845754260886069,0.0
static,0,frame_centered_unit,instant_adaptive,16,4,6,72,0.993102698024847,0.057218386918221814,0.9930336721565407,0.05843008563635192,0.021189870586307964,0.11463282026870214,0.9861111111111112,0.11702985796078276,0.0
static,0,frame_centered_unit,instant_adaptive,16,8,6,48,0.989604568704134,0.06974022369294391,0.9895289716602852,0.07134940293580924,0.03129253758061134,0.1395253541110039,0.9791666666666666,0.1428261375083551,0.0
static,0,frame_centered_unit,instant_adaptive,32,0,6,96,1.0,0.0,1.0,1.0385185452638061e-16,5.811443293946958e-18,1.3028895186753818e-17,1.0,0.0,0.0
static,0,frame_centered_unit,instant_adaptive,32,1,6,90,0.9999922514490044,1.4049405907225453e-05,0.9999974139872367,5.489604362435502e-06,0.0018868062222322038,0.0026301967224273584,1.0,0.0,-7.748550995612113e-06
static,0,frame_centered_unit,instant_adaptive,32,2,6,84,0.9999918057176368,1.480665860561221e-05,0.9999968899126822,5.588323768105322e-06,0.0021147700606525704,0.00263609440815712,1.0,0.0,1.2099510181884376e-05
static,0,frame_centered_unit,instant_adaptive,32,4,6,72,0.9999760088480415,4.3426411819477825e-05,0.9999920744971286,1.2481553709210762e-05,0.0036354358484122435,0.0043912586246647525,1.0,0.0,4.945993363136836e-05
static,0,frame_centered_unit,instant_adaptive,32,8,6,48,0.9998922126748147,0.00016122175976644582,0.9999690842116903,4.027994807767788e-05,0.007985608292119405,0.0090441441114142,1.0,0.0,8.730112233890086e-05
static,0,frame_centered_unit,instant_adaptive,64,0,6,96,1.0,0.0,1.0,9.34391909990421e-17,4.385967649636409e-18,1.135290170068917e-17,1.0,0.0,0.0
static,0,frame_centered_unit,instant_adaptive,64,1,6,90,0.999994176438493,1.196651611786879e-05,0.9999979168640054,4.848655138690598e-06,0.0014924403373385877,0.002395041516490116,1.0,0.0,-5.823561507023456e-06
