split,sampling_step,branch,layer,method,router,density,tail_group_size,records,aggregate_output_relative_l2,record_error_p95,record_error_max,selected_attention_mass_mean,attention_work_ratio_mean,flop_proxy_speedup
calibration,19,cond,29,centroid,oracle_mass,0.125,16,12,0.011470352235153237,0.03999721907253498,0.04732558221155743,0.9086569050947825,0.19536019536019536,5.11875
calibration,19,cond,29,centroid,oracle_mass,0.125,4,12,0.006578282328030356,0.023494110287783487,0.027808946329831323,0.9086569050947825,0.3594017094017094,2.7824019024970275
calibration,19,cond,29,centroid,oracle_mass,0.125,8,12,0.009125692358134357,0.03184148521879559,0.03830425462030538,0.9086569050947825,0.25003052503052503,3.9995116591380784
calibration,19,cond,29,centroid,oracle_mass,0.25,16,12,0.006045939984618017,0.02237429108681132,0.025727707244317288,0.9504490047693253,0.31253561253561246,3.199635369188697
calibration,19,cond,29,centroid,oracle_mass,0.25,4,12,0.0034328108401611352,0.013065408897764162,0.015027110029744791,0.9504490047693253,0.45314407814407826,2.206803637588413
calibration,19,cond,29,centroid,oracle_mass,0.25,8,12,0.004790652634333689,0.01789815382081751,0.020998452158949972,0.9504490047693253,0.35939662189662186,2.782441289299719
calibration,19,cond,29,centroid,oracle_mass,0.375,16,12,0.004010789629489711,0.015397321317605184,0.01796226253407163,0.9673487643400828,0.4296906796906798,2.327255505564764
calibration,19,cond,29,centroid,oracle_mass,0.375,4,12,0.002284682560016289,0.008958629794186055,0.01043119630767799,0.9673487643400828,0.5468711843711843,1.8285841868772852
calibration,19,cond,29,centroid,oracle_mass,0.375,8,12,0.0031705265344406743,0.012258739803850203,0.014533337970640615,0.9673487643400828,0.4687449124949125,2.133356487385564
calibration,9,cond,0,centroid,moment,0.125,16,12,0.12988188648075624,0.3550372427141054,0.4260724548550348,0.6159405522048473,0.19533984533984536,5.119283258672778
calibration,9,cond,0,centroid,moment,0.125,4,12,0.10535388356303699,0.28920328611163315,0.34510646867976597,0.6159405522048473,0.3593864468864469,2.782520066250478
calibration,9,cond,0,centroid,moment,0.125,8,12,0.12173608085700433,0.3333550379073118,0.3996772684339913,0.6159405522048473,0.25001271876271874,3.9997965101490567
calibration,9,cond,0,centroid,moment,0.25,16,12,0.09630751131254676,0.27264421702293756,0.3267680298761729,0.6998458305994669,0.31255596255596246,3.199427046031644
calibration,9,cond,0,centroid,moment,0.25,4,12,0.07834294495091562,0.22059908008496382,0.26402987826355107,0.6998458305994669,0.45315934065934077,2.2067293119127003
calibration,9,cond,0,centroid,moment,0.25,8,12,0.09049905014821216,0.2556371879069757,0.3060574748521992,0.6998458305994669,0.3594144281644282,2.7823034403685956
calibration,9,cond,0,centroid,moment,0.375,16,12,0.07396137875292927,0.22451368034347396,0.26138954264146624,0.7640192906061808,0.42977207977207993,2.3268147166058992
