dataset,method,retention_rate,component_scope,component,samples,bits_mean,bits_min,bits_max
gqa,base_vq,0.125,stream,base_code_indices,120,1024,1024,1024
gqa,base_vq,0.125,stream,base_scale_indices,120,512,512,512
gqa,base_vq,0.25,shared,base_codebook,120,8454400,8454400,8454400
gqa,base_vq,0.25,stream,base_code_indices,120,2048,2048,2048
gqa,base_vq,0.25,stream,base_scale_indices,120,1024,1024,1024
gqa,base_vq_logic_router,0.125,shared,base_codebook,120,8454400,8454400,8454400
gqa,base_vq_logic_router,0.125,shared,logic_router,120,10119,10119,10119
gqa,base_vq_logic_router,0.125,shared,residual_codebooks,120,67371264,67371264,67371264
gqa,base_vq_logic_router,0.125,shared,router_curvature_prior,120,8192,8192,8192
gqa,base_vq_logic_router,0.125,stream,base_code_indices,120,768,768,768
gqa,base_vq_logic_router,0.125,stream,base_scale_indices,120,384,384,384
gqa,base_vq_logic_router,0.125,stream,exact_fallback_payload,120,0,0,0
gqa,base_vq_logic_router,0.125,stream,residual_code_indices,120,125.33333333333333,112,128
gqa,base_vq_logic_router,0.125,stream,residual_count_header,120,9,9,9
gqa,base_vq_logic_router,0.125,stream,residual_modes,120,16.333333333333332,16,18
gqa,base_vq_logic_router,0.125,stream,residual_positions,120,65.33333333333333,64,72
gqa,base_vq_logic_router,0.125,stream,residual_scale_indices,120,32.666666666666664,32,36
gqa,base_vq_logic_router,0.25,shared,base_codebook,120,8454400,8454400,8454400
gqa,base_vq_logic_router,0.25,shared,logic_router,120,10173,10173,10173
gqa,base_vq_logic_router,0.25,shared,residual_codebooks,120,67371264,67371264,67371264
gqa,base_vq_logic_router,0.25,shared,router_curvature_prior,120,8192,8192,8192
gqa,base_vq_logic_router,0.25,stream,base_code_indices,120,1536,1536,1536
gqa,base_vq_logic_router,0.25,stream,base_scale_indices,120,768,768,768
gqa,base_vq_logic_router,0.25,stream,exact_fallback_payload,120,0,0,0
gqa,base_vq_logic_router,0.25,stream,residual_code_indices,120,256,256,256
gqa,base_vq_logic_router,0.25,stream,residual_count_header,120,9,9,9
gqa,base_vq_logic_router,0.25,stream,residual_modes,120,32,32,32
gqa,base_vq_logic_router,0.25,stream,residual_positions,120,128,128,128
gqa,base_vq_logic_router,0.25,stream,residual_scale_indices,120,64,64,64
gqa,base_vq_mlp_router,0.125,shared,base_codebook,120,8454400,8454400,8454400
gqa,base_vq_mlp_router,0.125,shared,mlp_router_normalizer,120,832,832,832
gqa,base_vq_mlp_router,0.125,shared,mlp_router_parameters,120,51296,51296,51296
gqa,base_vq_mlp_router,0.125,shared,residual_codebooks,120,67371264,67371264,67371264
gqa,base_vq_mlp_router,0.125,shared,router_curvature_prior,120,8192,8192,8192
gqa,base_vq_mlp_router,0.125,stream,base_code_indices,120,768,768,768
gqa,base_vq_mlp_router,0.125,stream,base_scale_indices,120,384,384,384
gqa,base_vq_mlp_router,0.125,stream,exact_fallback_payload,120,0,0,0
gqa,base_vq_mlp_router,0.125,stream,residual_code_indices,120,128,128,128
gqa,base_vq_mlp_router,0.125,stream,residual_count_header,120,9,9,9
gqa,base_vq_mlp_router,0.125,stream,residual_modes,120,16,16,16
gqa,base_vq_mlp_router,0.125,stream,residual_positions,120,64,64,64
gqa,base_vq_mlp_router,0.125,stream,residual_scale_indices,120,32,32,32
gqa,base_vq_mlp_router,0.25,shared,base_codebook,120,8454400,8454400,8454400
gqa,base_vq_mlp_router,0.25,shared,mlp_router_normalizer,120,832,832,832
gqa,base_vq_mlp_router,0.25,shared,mlp_router_parameters,120,51296,51296,51296
gqa,base_vq_mlp_router,0.25,shared,residual_codebooks,120,67371264,67371264,67371264
gqa,base_vq_mlp_router,0.25,shared,router_curvature_prior,120,8192,8192,8192
gqa,base_vq_mlp_router,0.25,stream,base_code_indices,120,1536,1536,1536
gqa,base_vq_mlp_router,0.25,stream,base_scale_indices,120,768,768,768
gqa,base_vq_mlp_router,0.25,stream,exact_fallback_payload,120,0,0,0
gqa,base_vq_mlp_router,0.25,stream,residual_code_indices,120,256,256,256
gqa,base_vq_mlp_router,0.25,stream,residual_count_header,120,9,9,9
gqa,base_vq_mlp_router,0.25,stream,residual_modes,120,32,32,32
gqa,base_vq_mlp_router,0.25,stream,residual_positions,120,128,128,128
gqa,base_vq_mlp_router,0.25,stream,residual_scale_indices,120,64,64,64
gqa,base_vq_residual_rvq,0.125,shared,base_codebook,120,8454400,8454400,8454400
gqa,base_vq_residual_rvq,0.125,shared,residual_codebooks,120,67371264,67371264,67371264
gqa,base_vq_residual_rvq,0.125,stream,base_code_indices,120,768,768,768
gqa,base_vq_residual_rvq,0.125,stream,base_scale_indices,120,384,384,384
gqa,base_vq_residual_rvq,0.125,stream,exact_fallback_payload,120,0,0,0
gqa,base_vq_residual_rvq,0.125,stream,residual_code_indices,120,128,128,128
gqa,base_vq_residual_rvq,0.125,stream,residual_count_header,120,9,9,9
gqa,base_vq_residual_rvq,0.125,stream,residual_modes,120,16,16,16
gqa,base_vq_residual_rvq,0.125,stream,residual_positions,120,64,64,64
gqa,base_vq_residual_rvq,0.125,stream,residual_scale_indices,120,32,32,32
gqa,base_vq_residual_rvq,0.25,shared,base_codebook,120,8454400,8454400,8454400
gqa,base_vq_residual_rvq,0.25,shared,residual_codebooks,120,67371264,67371264,67371264
gqa,base_vq_residual_rvq,0.25,stream,base_code_indices,120,1536,1536,1536
gqa,base_vq_residual_rvq,0.25,stream,base_scale_indices,120,768,768,768
gqa,base_vq_residual_rvq,0.25,stream,exact_fallback_payload,120,0,0,0
gqa,base_vq_residual_rvq,0.25,stream,residual_code_indices,120,256,256,256
gqa,base_vq_residual_rvq,0.25,stream,residual_count_header,120,9,9,9
gqa,base_vq_residual_rvq,0.25,stream,residual_modes,120,32,32,32
gqa,base_vq_residual_rvq,0.25,stream,residual_positions,120,128,128,128
gqa,base_vq_residual_rvq,0.25,stream,residual_scale_indices,120,64,64,64
gqa,base_vq_residual_rvq_unweighted,0.125,shared,base_codebook,120,8454400,8454400,8454400
gqa,base_vq_residual_rvq_unweighted,0.125,shared,residual_codebooks,120,67371264,67371264,67371264
gqa,base_vq_residual_rvq_unweighted,0.125,stream,base_code_indices,120,768,768,768
gqa,base_vq_residual_rvq_unweighted,0.125,stream,base_scale_indices,120,384,384,384
gqa,base_vq_residual_rvq_unweighted,0.125,stream,exact_fallback_payload,120,0,0,0
gqa,base_vq_residual_rvq_unweighted,0.125,stream,residual_code_indices,120,128,128,128
gqa,base_vq_residual_rvq_unweighted,0.125,stream,residual_count_header,120,9,9,9
gqa,base_vq_residual_rvq_unweighted,0.125,stream,residual_modes,120,16,16,16
gqa,base_vq_residual_rvq_unweighted,0.125,stream,residual_positions,120,64,64,64
gqa,base_vq_residual_rvq_unweighted,0.125,stream,residual_scale_indices,120,32,32,32
gqa,base_vq_residual_rvq_unweighted,0.25,shared,base_codebook,120,8454400,8454400,8454400
gqa,base_vq_residual_rvq_unweighted,0.25,shared,residual_codebooks,120,67371264,67371264,67371264
gqa,base_vq_residual_rvq_unweighted,0.25,stream,base_code_indices,120,1536,1536,1536
gqa,base_vq_residual_rvq_unweighted,0.25,stream,base_scale_indices,120,768,768,768
gqa,base_vq_residual_rvq_unweighted,0.25,stream,exact_fallback_payload,120,0,0,0
gqa,base_vq_residual_rvq_unweighted,0.25,stream,residual_code_indices,120,256,256,256
gqa,base_vq_residual_rvq_unweighted,0.25,stream,residual_count_header,120,9,9,9
gqa,base_vq_residual_rvq_unweighted,0.25,stream,residual_modes,120,32,32,32
gqa,base_vq_residual_rvq_unweighted,0.25,stream,residual_positions,120,128,128,128
gqa,base_vq_residual_rvq_unweighted,0.25,stream,residual_scale_indices,120,64,64,64
gqa,logic_router_fixed_slots,0.125,shared,base_codebook,120,8454400,8454400,8454400
gqa,logic_router_fixed_slots,0.125,shared,fixed_slot_positions,120,64,64,64
gqa,logic_router_fixed_slots,0.125,shared,logic_router,120,10119,10119,10119
gqa,logic_router_fixed_slots,0.125,shared,residual_codebooks,120,67371264,67371264,67371264
gqa,logic_router_fixed_slots,0.125,shared,router_curvature_prior,120,8192,8192,8192
gqa,logic_router_fixed_slots,0.125,stream,base_code_indices,120,768,768,768
gqa,logic_router_fixed_slots,0.125,stream,base_scale_indices,120,384,384,384
gqa,logic_router_fixed_slots,0.125,stream,exact_fallback_payload,120,0,0,0
gqa,logic_router_fixed_slots,0.125,stream,fixed_slot_modes,120,16,16,16
gqa,logic_router_fixed_slots,0.125,stream,fixed_slot_valid_mask,120,8,8,8
gqa,logic_router_fixed_slots,0.125,stream,residual_code_indices,120,128,128,128
gqa,logic_router_fixed_slots,0.125,stream,residual_scale_indices,120,32,32,32
gqa,logic_router_fixed_slots,0.25,shared,base_codebook,120,8454400,8454400,8454400
gqa,logic_router_fixed_slots,0.25,shared,fixed_slot_positions,120,128,128,128
gqa,logic_router_fixed_slots,0.25,shared,logic_router,120,10173,10173,10173
gqa,logic_router_fixed_slots,0.25,shared,residual_codebooks,120,67371264,67371264,67371264
gqa,logic_router_fixed_slots,0.25,shared,router_curvature_prior,120,8192,8192,8192
gqa,logic_router_fixed_slots,0.25,stream,base_code_indices,120,1536,1536,1536
gqa,logic_router_fixed_slots,0.25,stream,base_scale_indices,120,768,768,768
gqa,logic_router_fixed_slots,0.25,stream,exact_fallback_payload,120,0,0,0
gqa,logic_router_fixed_slots,0.25,stream,fixed_slot_modes,120,32,32,32
gqa,logic_router_fixed_slots,0.25,stream,fixed_slot_valid_mask,120,16,16,16
gqa,logic_router_fixed_slots,0.25,stream,residual_code_indices,120,256,256,256
gqa,logic_router_fixed_slots,0.25,stream,residual_scale_indices,120,64,64,64
gqa,logic_router_fixed_slots_exact_fallback,0.125,shared,base_codebook,120,8454400,8454400,8454400
gqa,logic_router_fixed_slots_exact_fallback,0.125,shared,fixed_slot_positions,120,64,64,64
gqa,logic_router_fixed_slots_exact_fallback,0.125,shared,logic_router,120,10119,10119,10119
gqa,logic_router_fixed_slots_exact_fallback,0.125,shared,residual_codebooks,120,67371264,67371264,67371264
gqa,logic_router_fixed_slots_exact_fallback,0.125,shared,router_curvature_prior,120,8192,8192,8192
gqa,logic_router_fixed_slots_exact_fallback,0.125,stream,base_code_indices,120,768,768,768
gqa,logic_router_fixed_slots_exact_fallback,0.125,stream,base_scale_indices,120,384,384,384
gqa,logic_router_fixed_slots_exact_fallback,0.125,stream,exact_fallback_payload,120,524288,524288,524288
gqa,logic_router_fixed_slots_exact_fallback,0.125,stream,fixed_slot_modes,120,16,16,16
gqa,logic_router_fixed_slots_exact_fallback,0.125,stream,fixed_slot_valid_mask,120,8,8,8
gqa,logic_router_fixed_slots_exact_fallback,0.125,stream,residual_code_indices,120,64,64,64
gqa,logic_router_fixed_slots_exact_fallback,0.125,stream,residual_scale_indices,120,16,16,16
gqa,logic_router_fixed_slots_exact_fallback,0.25,shared,base_codebook,120,8454400,8454400,8454400
gqa,logic_router_fixed_slots_exact_fallback,0.25,shared,fixed_slot_positions,120,128,128,128
gqa,logic_router_fixed_slots_exact_fallback,0.25,shared,logic_router,120,10173,10173,10173
gqa,logic_router_fixed_slots_exact_fallback,0.25,shared,residual_codebooks,120,67371264,67371264,67371264
gqa,logic_router_fixed_slots_exact_fallback,0.25,shared,router_curvature_prior,120,8192,8192,8192
gqa,logic_router_fixed_slots_exact_fallback,0.25,stream,base_code_indices,120,1536,1536,1536
gqa,logic_router_fixed_slots_exact_fallback,0.25,stream,base_scale_indices,120,768,768,768
gqa,logic_router_fixed_slots_exact_fallback,0.25,stream,exact_fallback_payload,120,524288,524288,524288
gqa,logic_router_fixed_slots_exact_fallback,0.25,stream,fixed_slot_modes,120,32,32,32
gqa,logic_router_fixed_slots_exact_fallback,0.25,stream,fixed_slot_valid_mask,120,16,16,16
gqa,logic_router_fixed_slots_exact_fallback,0.25,stream,residual_code_indices,120,192,192,192
gqa,logic_router_fixed_slots_exact_fallback,0.25,stream,residual_scale_indices,120,48,48,48
gqa,none,,stream,fp16_crop_tokens,120,33554432,33554432,33554432
gqa,tile_energy_exception,0.125,stream,fp16_base_coefficients,120,3145728,3145728,3145728
gqa,tile_energy_exception,0.125,stream,fp16_exact_residual,120,1048576,1048576,1048576
gqa,tile_energy_exception,0.125,stream,residual_count_header,120,9,9,9
gqa,tile_energy_exception,0.125,stream,residual_positions,120,64,64,64
gqa,tile_energy_exception,0.25,stream,fp16_base_coefficients,120,6291456,6291456,6291456
gqa,tile_energy_exception,0.25,stream,fp16_exact_residual,120,2097152,2097152,2097152
gqa,tile_energy_exception,0.25,stream,residual_count_header,120,9,9,9
gqa,tile_energy_exception,0.25,stream,residual_positions,120,128,128,128
gqa,tile_lowpass,0.125,stream,fp16_base_coefficients,120,4194304,4194304,4194304
gqa,tile_lowpass,0.25,stream,fp16_base_coefficients,120,8388608,8388608,8388608
gqa,tile_risk_exception,0.125,stream,fp16_base_coefficients,120,3145728,3145728,3145728
gqa,tile_risk_exception,0.125,stream,fp16_exact_residual,120,1048576,1048576,1048576
gqa,tile_risk_exception,0.125,stream,residual_count_header,120,9,9,9
gqa,tile_risk_exception,0.125,stream,residual_positions,120,64,64,64
gqa,tile_risk_exception,0.25,stream,fp16_base_coefficients,120,6291456,6291456,6291456
gqa,tile_risk_exception,0.25,stream,fp16_exact_residual,120,2097152,2097152,2097152
gqa,tile_risk_exception,0.25,stream,residual_count_header,120,9,9,9
gqa,tile_risk_exception,0.25,stream,residual_positions,120,128,128,128
textvqa,base_scalar_quant,0.125,stream,base_scalar_codes,120,1048576,1048576,1048576
textvqa,base_scalar_quant,0.125,stream,base_scalar_scales,120,4096,4096,4096
textvqa,base_scalar_quant,0.25,stream,base_scalar_codes,120,2097152,2097152,2097152
textvqa,base_scalar_quant,0.25,stream,base_scalar_scales,120,8192,8192,8192
textvqa,base_vq,0.125,shared,base_codebook,120,8454400,8454400,8454400
textvqa,base_vq,0.125,stream,base_code_indices,120,1024,1024,1024
textvqa,base_vq,0.125,stream,base_scale_indices,120,512,512,512
textvqa,base_vq,0.25,shared,base_codebook,120,8454400,8454400,8454400
textvqa,base_vq,0.25,stream,base_code_indices,120,2048,2048,2048
textvqa,base_vq,0.25,stream,base_scale_indices,120,1024,1024,1024
textvqa,base_vq_logic_router,0.125,shared,base_codebook,120,8454400,8454400,8454400
textvqa,base_vq_logic_router,0.125,shared,logic_router,120,10119,10119,10119
textvqa,base_vq_logic_router,0.125,shared,residual_codebooks,120,67371264,67371264,67371264
textvqa,base_vq_logic_router,0.125,shared,router_curvature_prior,120,8192,8192,8192
textvqa,base_vq_logic_router,0.125,stream,base_code_indices,120,768,768,768
textvqa,base_vq_logic_router,0.125,stream,base_scale_indices,120,384,384,384
textvqa,base_vq_logic_router,0.125,stream,exact_fallback_payload,120,0,0,0
textvqa,base_vq_logic_router,0.125,stream,residual_code_indices,120,123.06666666666666,96,128
textvqa,base_vq_logic_router,0.125,stream,residual_count_header,120,9,9,9
textvqa,base_vq_logic_router,0.125,stream,residual_modes,120,16.616666666666667,16,20
textvqa,base_vq_logic_router,0.125,stream,residual_positions,120,66.46666666666667,64,80
textvqa,base_vq_logic_router,0.125,stream,residual_scale_indices,120,33.233333333333334,32,40
textvqa,base_vq_logic_router,0.25,shared,base_codebook,120,8454400,8454400,8454400
textvqa,base_vq_logic_router,0.25,shared,logic_router,120,10173,10173,10173
textvqa,base_vq_logic_router,0.25,shared,residual_codebooks,120,67371264,67371264,67371264
textvqa,base_vq_logic_router,0.25,shared,router_curvature_prior,120,8192,8192,8192
textvqa,base_vq_logic_router,0.25,stream,base_code_indices,120,1536,1536,1536
textvqa,base_vq_logic_router,0.25,stream,base_scale_indices,120,768,768,768
textvqa,base_vq_logic_router,0.25,stream,exact_fallback_payload,120,0,0,0
textvqa,base_vq_logic_router,0.25,stream,residual_code_indices,120,256,256,256
textvqa,base_vq_logic_router,0.25,stream,residual_count_header,120,9,9,9
textvqa,base_vq_logic_router,0.25,stream,residual_modes,120,32,32,32
textvqa,base_vq_logic_router,0.25,stream,residual_positions,120,128,128,128
textvqa,base_vq_logic_router,0.25,stream,residual_scale_indices,120,64,64,64
textvqa,base_vq_mlp_router,0.125,shared,base_codebook,120,8454400,8454400,8454400
textvqa,base_vq_mlp_router,0.125,shared,mlp_router_normalizer,120,832,832,832
textvqa,base_vq_mlp_router,0.125,shared,mlp_router_parameters,120,51296,51296,51296
textvqa,base_vq_mlp_router,0.125,shared,residual_codebooks,120,67371264,67371264,67371264
textvqa,base_vq_mlp_router,0.125,shared,router_curvature_prior,120,8192,8192,8192
textvqa,base_vq_mlp_router,0.125,stream,base_code_indices,120,768,768,768
textvqa,base_vq_mlp_router,0.125,stream,base_scale_indices,120,384,384,384
textvqa,base_vq_mlp_router,0.125,stream,exact_fallback_payload,120,0,0,0
textvqa,base_vq_mlp_router,0.125,stream,residual_code_indices,120,128,128,128
textvqa,base_vq_mlp_router,0.125,stream,residual_count_header,120,9,9,9
textvqa,base_vq_mlp_router,0.125,stream,residual_modes,120,16,16,16
textvqa,base_vq_mlp_router,0.125,stream,residual_positions,120,64,64,64
textvqa,base_vq_mlp_router,0.125,stream,residual_scale_indices,120,32,32,32
textvqa,base_vq_mlp_router,0.25,shared,base_codebook,120,8454400,8454400,8454400
textvqa,base_vq_mlp_router,0.25,shared,mlp_router_normalizer,120,832,832,832
textvqa,base_vq_mlp_router,0.25,shared,mlp_router_parameters,120,51296,51296,51296
textvqa,base_vq_mlp_router,0.25,shared,residual_codebooks,120,67371264,67371264,67371264
textvqa,base_vq_mlp_router,0.25,shared,router_curvature_prior,120,8192,8192,8192
textvqa,base_vq_mlp_router,0.25,stream,base_code_indices,120,1536,1536,1536
textvqa,base_vq_mlp_router,0.25,stream,base_scale_indices,120,768,768,768
textvqa,base_vq_mlp_router,0.25,stream,exact_fallback_payload,120,0,0,0
textvqa,base_vq_mlp_router,0.25,stream,residual_code_indices,120,256,256,256
textvqa,base_vq_mlp_router,0.25,stream,residual_count_header,120,9,9,9
textvqa,base_vq_mlp_router,0.25,stream,residual_modes,120,32,32,32
textvqa,base_vq_mlp_router,0.25,stream,residual_positions,120,128,128,128
textvqa,base_vq_mlp_router,0.25,stream,residual_scale_indices,120,64,64,64
textvqa,base_vq_residual_rvq,0.125,shared,base_codebook,120,8454400,8454400,8454400
textvqa,base_vq_residual_rvq,0.125,shared,residual_codebooks,120,67371264,67371264,67371264
textvqa,base_vq_residual_rvq,0.125,stream,base_code_indices,120,768,768,768
textvqa,base_vq_residual_rvq,0.125,stream,base_scale_indices,120,384,384,384
textvqa,base_vq_residual_rvq,0.125,stream,exact_fallback_payload,120,0,0,0
textvqa,base_vq_residual_rvq,0.125,stream,residual_code_indices,120,128,128,128
textvqa,base_vq_residual_rvq,0.125,stream,residual_count_header,120,9,9,9
textvqa,base_vq_residual_rvq,0.125,stream,residual_modes,120,16,16,16
textvqa,base_vq_residual_rvq,0.125,stream,residual_positions,120,64,64,64
textvqa,base_vq_residual_rvq,0.125,stream,residual_scale_indices,120,32,32,32
textvqa,base_vq_residual_rvq,0.25,shared,base_codebook,120,8454400,8454400,8454400
textvqa,base_vq_residual_rvq,0.25,shared,residual_codebooks,120,67371264,67371264,67371264
textvqa,base_vq_residual_rvq,0.25,stream,base_code_indices,120,1536,1536,1536
textvqa,base_vq_residual_rvq,0.25,stream,base_scale_indices,120,768,768,768
textvqa,base_vq_residual_rvq,0.25,stream,exact_fallback_payload,120,0,0,0
textvqa,base_vq_residual_rvq,0.25,stream,residual_code_indices,120,256,256,256
textvqa,base_vq_residual_rvq,0.25,stream,residual_count_header,120,9,9,9
textvqa,base_vq_residual_rvq,0.25,stream,residual_modes,120,32,32,32
textvqa,base_vq_residual_rvq,0.25,stream,residual_positions,120,128,128,128
textvqa,base_vq_residual_rvq,0.25,stream,residual_scale_indices,120,64,64,64
textvqa,base_vq_residual_rvq_unweighted,0.125,shared,base_codebook,120,8454400,8454400,8454400
textvqa,base_vq_residual_rvq_unweighted,0.125,shared,residual_codebooks,120,67371264,67371264,67371264
textvqa,base_vq_residual_rvq_unweighted,0.125,stream,base_code_indices,120,768,768,768
textvqa,base_vq_residual_rvq_unweighted,0.125,stream,base_scale_indices,120,384,384,384
textvqa,base_vq_residual_rvq_unweighted,0.125,stream,exact_fallback_payload,120,0,0,0
textvqa,base_vq_residual_rvq_unweighted,0.125,stream,residual_code_indices,120,128,128,128
textvqa,base_vq_residual_rvq_unweighted,0.125,stream,residual_count_header,120,9,9,9
textvqa,base_vq_residual_rvq_unweighted,0.125,stream,residual_modes,120,16,16,16
textvqa,base_vq_residual_rvq_unweighted,0.125,stream,residual_positions,120,64,64,64
textvqa,base_vq_residual_rvq_unweighted,0.125,stream,residual_scale_indices,120,32,32,32
textvqa,base_vq_residual_rvq_unweighted,0.25,shared,base_codebook,120,8454400,8454400,8454400
textvqa,base_vq_residual_rvq_unweighted,0.25,shared,residual_codebooks,120,67371264,67371264,67371264
textvqa,base_vq_residual_rvq_unweighted,0.25,stream,base_code_indices,120,1536,1536,1536
textvqa,base_vq_residual_rvq_unweighted,0.25,stream,base_scale_indices,120,768,768,768
textvqa,base_vq_residual_rvq_unweighted,0.25,stream,exact_fallback_payload,120,0,0,0
textvqa,base_vq_residual_rvq_unweighted,0.25,stream,residual_code_indices,120,256,256,256
textvqa,base_vq_residual_rvq_unweighted,0.25,stream,residual_count_header,120,9,9,9
textvqa,base_vq_residual_rvq_unweighted,0.25,stream,residual_modes,120,32,32,32
textvqa,base_vq_residual_rvq_unweighted,0.25,stream,residual_positions,120,128,128,128
textvqa,base_vq_residual_rvq_unweighted,0.25,stream,residual_scale_indices,120,64,64,64
textvqa,logic_router_fixed_slots,0.125,shared,base_codebook,120,8454400,8454400,8454400
textvqa,logic_router_fixed_slots,0.125,shared,fixed_slot_positions,120,64,64,64
textvqa,logic_router_fixed_slots,0.125,shared,logic_router,120,10119,10119,10119
textvqa,logic_router_fixed_slots,0.125,shared,residual_codebooks,120,67371264,67371264,67371264
textvqa,logic_router_fixed_slots,0.125,shared,router_curvature_prior,120,8192,8192,8192
textvqa,logic_router_fixed_slots,0.125,stream,base_code_indices,120,768,768,768
textvqa,logic_router_fixed_slots,0.125,stream,base_scale_indices,120,384,384,384
textvqa,logic_router_fixed_slots,0.125,stream,exact_fallback_payload,120,0,0,0
textvqa,logic_router_fixed_slots,0.125,stream,fixed_slot_modes,120,16,16,16
textvqa,logic_router_fixed_slots,0.125,stream,fixed_slot_valid_mask,120,8,8,8
textvqa,logic_router_fixed_slots,0.125,stream,residual_code_indices,120,128,128,128
textvqa,logic_router_fixed_slots,0.125,stream,residual_scale_indices,120,32,32,32
textvqa,logic_router_fixed_slots,0.25,shared,base_codebook,120,8454400,8454400,8454400
textvqa,logic_router_fixed_slots,0.25,shared,fixed_slot_positions,120,128,128,128
textvqa,logic_router_fixed_slots,0.25,shared,logic_router,120,10173,10173,10173
textvqa,logic_router_fixed_slots,0.25,shared,residual_codebooks,120,67371264,67371264,67371264
textvqa,logic_router_fixed_slots,0.25,shared,router_curvature_prior,120,8192,8192,8192
textvqa,logic_router_fixed_slots,0.25,stream,base_code_indices,120,1536,1536,1536
textvqa,logic_router_fixed_slots,0.25,stream,base_scale_indices,120,768,768,768
textvqa,logic_router_fixed_slots,0.25,stream,exact_fallback_payload,120,0,0,0
textvqa,logic_router_fixed_slots,0.25,stream,fixed_slot_modes,120,32,32,32
textvqa,logic_router_fixed_slots,0.25,stream,fixed_slot_valid_mask,120,16,16,16
textvqa,logic_router_fixed_slots,0.25,stream,residual_code_indices,120,256,256,256
textvqa,logic_router_fixed_slots,0.25,stream,residual_scale_indices,120,64,64,64
textvqa,logic_router_fixed_slots_exact_fallback,0.125,shared,base_codebook,120,8454400,8454400,8454400
textvqa,logic_router_fixed_slots_exact_fallback,0.125,shared,fixed_slot_positions,120,64,64,64
textvqa,logic_router_fixed_slots_exact_fallback,0.125,shared,logic_router,120,10119,10119,10119
textvqa,logic_router_fixed_slots_exact_fallback,0.125,shared,residual_codebooks,120,67371264,67371264,67371264
textvqa,logic_router_fixed_slots_exact_fallback,0.125,shared,router_curvature_prior,120,8192,8192,8192
textvqa,logic_router_fixed_slots_exact_fallback,0.125,stream,base_code_indices,120,768,768,768
textvqa,logic_router_fixed_slots_exact_fallback,0.125,stream,base_scale_indices,120,384,384,384
textvqa,logic_router_fixed_slots_exact_fallback,0.125,stream,exact_fallback_payload,120,524288,524288,524288
textvqa,logic_router_fixed_slots_exact_fallback,0.125,stream,fixed_slot_modes,120,16,16,16
textvqa,logic_router_fixed_slots_exact_fallback,0.125,stream,fixed_slot_valid_mask,120,8,8,8
textvqa,logic_router_fixed_slots_exact_fallback,0.125,stream,residual_code_indices,120,64,64,64
textvqa,logic_router_fixed_slots_exact_fallback,0.125,stream,residual_scale_indices,120,16,16,16
textvqa,logic_router_fixed_slots_exact_fallback,0.25,shared,base_codebook,120,8454400,8454400,8454400
textvqa,logic_router_fixed_slots_exact_fallback,0.25,shared,fixed_slot_positions,120,128,128,128
textvqa,logic_router_fixed_slots_exact_fallback,0.25,shared,logic_router,120,10173,10173,10173
textvqa,logic_router_fixed_slots_exact_fallback,0.25,shared,residual_codebooks,120,67371264,67371264,67371264
textvqa,logic_router_fixed_slots_exact_fallback,0.25,shared,router_curvature_prior,120,8192,8192,8192
textvqa,logic_router_fixed_slots_exact_fallback,0.25,stream,base_code_indices,120,1536,1536,1536
textvqa,logic_router_fixed_slots_exact_fallback,0.25,stream,base_scale_indices,120,768,768,768
textvqa,logic_router_fixed_slots_exact_fallback,0.25,stream,exact_fallback_payload,120,524288,524288,524288
textvqa,logic_router_fixed_slots_exact_fallback,0.25,stream,fixed_slot_modes,120,32,32,32
textvqa,logic_router_fixed_slots_exact_fallback,0.25,stream,fixed_slot_valid_mask,120,16,16,16
textvqa,logic_router_fixed_slots_exact_fallback,0.25,stream,residual_code_indices,120,192,192,192
textvqa,logic_router_fixed_slots_exact_fallback,0.25,stream,residual_scale_indices,120,48,48,48
textvqa,none,,stream,fp16_crop_tokens,120,33554432,33554432,33554432
textvqa,tile_energy_exception,0.125,stream,fp16_base_coefficients,120,3145728,3145728,3145728
textvqa,tile_energy_exception,0.125,stream,fp16_exact_residual,120,1048576,1048576,1048576
textvqa,tile_energy_exception,0.125,stream,residual_count_header,120,9,9,9
textvqa,tile_energy_exception,0.125,stream,residual_positions,120,64,64,64
textvqa,tile_energy_exception,0.25,stream,fp16_base_coefficients,120,6291456,6291456,6291456
textvqa,tile_energy_exception,0.25,stream,fp16_exact_residual,120,2097152,2097152,2097152
textvqa,tile_energy_exception,0.25,stream,residual_count_header,120,9,9,9
textvqa,tile_energy_exception,0.25,stream,residual_positions,120,128,128,128
textvqa,tile_lowpass,0.125,stream,fp16_base_coefficients,120,4194304,4194304,4194304
textvqa,tile_lowpass,0.25,stream,fp16_base_coefficients,120,8388608,8388608,8388608
textvqa,tile_risk_exception,0.125,stream,fp16_base_coefficients,120,3145728,3145728,3145728
textvqa,tile_risk_exception,0.125,stream,fp16_exact_residual,120,1048576,1048576,1048576
textvqa,tile_risk_exception,0.125,stream,residual_count_header,120,9,9,9
textvqa,tile_risk_exception,0.125,stream,residual_positions,120,64,64,64
textvqa,tile_risk_exception,0.25,stream,fp16_base_coefficients,120,6291456,6291456,6291456
textvqa,tile_risk_exception,0.25,stream,fp16_exact_residual,120,2097152,2097152,2097152
textvqa,tile_risk_exception,0.25,stream,residual_count_header,120,9,9,9
textvqa,tile_risk_exception,0.25,stream,residual_positions,120,128,128,128
