case,head,method,requested_token_budget,actual_critical_tokens,rank,keys,representation_ratio_full_n,attention_rel_fro,output_rel_l2,output_cosine,critical_mass
f81,1,token_topk_oracle,128,128,32,32760,0.005860805860805861,0.20026162266731262,0.06608045846223831,0.9978142380714417,0.5844748616218567
f81,1,token_topk_oracle,128,128,64,32760,0.007814407814407814,0.18078690767288208,0.057320721447467804,0.9983599185943604,0.5844748616218567
f81,1,block16_oracle,128,128,8,32760,0.004395604395604396,0.5783341526985168,0.20065337419509888,0.9796908497810364,0.31880635023117065
f81,1,block16_oracle,128,128,16,32760,0.004884004884004884,0.5598644614219666,0.19006776809692383,0.981782078742981,0.31880635023117065
f81,1,block16_oracle,128,128,32,32760,0.005860805860805861,0.5287343859672546,0.17818233370780945,0.9840004444122314,0.31880635023117065
f81,1,block16_oracle,128,128,64,32760,0.007814407814407814,0.4816764295101166,0.1589273065328598,0.9872912168502808,0.31880635023117065
f81,1,block32_oracle,128,128,8,32760,0.004395604395604396,0.7294718027114868,0.25886401534080505,0.9659253358840942,0.19271036982536316
f81,1,block32_oracle,128,128,16,32760,0.004884004884004884,0.7069262862205505,0.24508725106716156,0.9695069193840027,0.19271036982536316
f81,1,block32_oracle,128,128,32,32760,0.005860805860805861,0.6680943369865417,0.22928135097026825,0.9733617305755615,0.19271036982536316
f81,1,block32_oracle,128,128,64,32760,0.007814407814407814,0.6067724227905273,0.20786480605602264,0.978157639503479,0.19271036982536316
f81,1,block64_oracle,128,128,8,32760,0.004395604395604396,0.8104938268661499,0.3114456534385681,0.9502853155136108,0.14559543132781982
f81,1,block64_oracle,128,128,16,32760,0.004884004884004884,0.7862144112586975,0.2811638116836548,0.9596701264381409,0.14559543132781982
f81,1,block64_oracle,128,128,32,32760,0.005860805860805861,0.7441472411155701,0.2629123330116272,0.9648243188858032,0.14559543132781982
f81,1,block64_oracle,128,128,64,32760,0.007814407814407814,0.6754226684570312,0.2407381236553192,0.9705905318260193,0.14559543132781982
f81,1,block128_oracle,128,128,8,32760,0.004395604395604396,0.8353219628334045,0.3463178277015686,0.9381499290466309,0.12256592512130737
f81,1,block128_oracle,128,128,16,32760,0.004884004884004884,0.8101404309272766,0.29759901762008667,0.9546996355056763,0.12256592512130737
f81,1,block128_oracle,128,128,32,32760,0.005860805860805861,0.7664690017700195,0.2759447693824768,0.9611760377883911,0.12256592512130737
f81,1,block128_oracle,128,128,64,32760,0.007814407814407814,0.6956549286842346,0.2527140974998474,0.9675411581993103,0.12256592512130737
f81,1,token_topk_oracle,256,256,8,32760,0.008302808302808303,0.1164751946926117,0.050956692546606064,0.9987177848815918,0.7297288775444031
f81,1,token_topk_oracle,256,256,16,32760,0.008791208791208791,0.10998358577489853,0.04085671156644821,0.9991669654846191,0.7297288775444031
f81,1,token_topk_oracle,256,256,32,32760,0.009768009768009768,0.10206373780965805,0.03384754806756973,0.999427080154419,0.7297288775444031
f81,1,token_topk_oracle,256,256,64,32760,0.011721611721611722,0.09458927810192108,0.030336864292621613,0.9995408654212952,0.7297288775444031
f81,1,block16_oracle,256,256,8,32760,0.008302808302808303,0.3863244652748108,0.14199303090572357,0.9899301528930664,0.4934914708137512
f81,1,block16_oracle,256,256,16,32760,0.008791208791208791,0.37262824177742004,0.1277276873588562,0.9918257594108582,0.4934914708137512
f81,1,block16_oracle,256,256,32,32760,0.009768009768009768,0.3506256937980652,0.11998000741004944,0.992782473564148,0.4934914708137512
f81,1,block16_oracle,256,256,64,32760,0.011721611721611722,0.3192633092403412,0.10363709181547165,0.9946168661117554,0.4934914708137512
f81,1,block32_oracle,256,256,8,32760,0.008302808302808303,0.5659939646720886,0.20101185142993927,0.9796187877655029,0.3340197503566742
f81,1,block32_oracle,256,256,16,32760,0.008791208791208791,0.5478699207305908,0.18899030983448029,0.9819875955581665,0.3340197503566742
f81,1,block32_oracle,256,256,32,32760,0.009768009768009768,0.5177322030067444,0.177341490983963,0.9841511249542236,0.3340197503566742
f81,1,block32_oracle,256,256,64,32760,0.011721611721611722,0.47215455770492554,0.15853925049304962,0.9873544573783875,0.3340197503566742
f81,1,block64_oracle,256,256,8,32760,0.008302808302808303,0.6891795992851257,0.24588894844055176,0.9693194031715393,0.24993115663528442
